"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124605925","01","03","02","グローバル・ソリューションズ（株）","07013001352","","","","00","","","","","東京都","世田谷区","等々力５丁目","","シャンボール尾山台","","","","大井町線","尾山台","2","","","","","","","","","","","","","","","","","","1","","","","52800000","","2735000","828000","","","","","","","","63.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","19680","","","","","","","","","","","","","","","【レインズ】","","",""
"100124595511","01","03","02","野村不動産ソリューションズ（株）　烏山センター","03-5315-5731","","","","00","","","","","東京都","世田谷区","南烏山２丁目","","芦花公園プレスティージュ","","","","京王線","芦花公園","5","","","","","","","","","","","","","","","","","","5","","","","79800000","","2547000","771000","","","","","","","","103.59","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","40400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198709","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603335","01","03","02","（株）パックシステム","080-4657-3837","","","","00","","","","","東京都","世田谷区","上馬１丁目","","オリエント三軒茶屋ハウス","","","","田園都市線","三軒茶屋","8","","","","","","","","","","","","","","","","","","1","","","","55800000","","3182000","963000","","","","","","","","57.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198305","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603332","01","03","02","（株）パックシステム","080-4657-3837","","","","00","","","","","東京都","世田谷区","池尻４丁目","","池ノ上グロリアハイツ","","","","井の頭線","池ノ上","12","","","","","","","","","","","","","","","","","","1","","","","52890000","","3179000","962000","","","","","","","","55.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197810","","","","","","","","","","","","","","","【レインズ】","","",""
"100124589327","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","世田谷区","下馬６丁目","","ホームズ学芸大学","","","","東横線","学芸大学","7","","","","","","","","","","","","","","","","","","1","","","","54900000","","4374000","1323000","","","","","","","","41.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200210","","","","","","","","","","","","","","","【レインズ】","","",""
"100124488804","01","03","02","（株）ヒサキ","03-3748-8203","","","","00","","","","","東京都","世田谷区","奥沢２丁目","","日商岩井自由が丘マンション","","","","東横線","自由が丘","5","","","","","","","","","","","","","","","","","","3","","","","59800000","","2981000","902000","","","","","","","","66.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124595402","01","03","02","三井住友トラスト不動産（株）　港南台センター","045-831-7126","","","","00","","","","","東京都","世田谷区","池尻４丁目","","池ノ上グロリアハイツ","","","","井の頭線","池ノ上","12","","","","","","","","","","","","","","","","","","5","","","","54990000","","3306000","1000000","","","","","","","","55.00","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","9380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197810","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600285","01","03","02","（株）協立サエラ","03-5302-9181","","","","00","","","","","東京都","世田谷区","奥沢６丁目","","日商岩井田園調布マンション","","","","大井町線","九品仏","6","","","","","","","","","","","","","","","","","","1","","","","53800000","","2366000","716000","","","","","","","","75.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","196912","","","","","","","","","","","","","","","【レインズ】","","",""
"100123350042","01","03","02","（株）ハウスドゥ・ジャパン　広尾店","03-5711-8534","","","","00","","","","","東京都","世田谷区","上馬４丁目","","上馬マンション","","","","田園都市線","駒沢大学","3","","","","","","","","","","","","","","","","","","1","","","","47980000","","2916000","882000","","","","","","","","54.40","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","11250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197011","","","","","","","","","","","","","","","【レインズ】","","",""
"100117696382","01","03","02","（株）コラム","080-2227-0311","","","","00","","","","","東京都","世田谷区","上野毛４丁目","","ライオンズマンション上野毛Ａ棟","","","","大井町線","上野毛","7","","","","","","","","","","","","","","","","","","5","","","","65000000","","2707000","819000","","","","","","","","79.38","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","12740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","197802","","","","","","","","","","","","","","","【レインズ】","","",""
