"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124547206","01","03","02","（株）アイビーアイ","03-3864-1288","","","","00","","","","","東京都","世田谷区","代田２丁目","","世田谷代田サンライズマンション","","","","小田急線","世田谷代田","3","","","","","","","","","","","","","","","","","","1","","","","29800000","","2834000","858000","","","","","","","","34.77","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","9400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197406","","","","","","","","","","","","","","","【レインズ】","","",""
"100124238182","01","03","02","（株）ライフアップヨコー","03-6915-7137","","","","00","","","","","東京都","世田谷区","喜多見６丁目","","成城オリンピックマンション","","","","小田急線","成城学園前","13","","","","","","","","","","","","","","","","","","2","","","","22800000","","1774000","537000","","","","","","","","42.50","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","1","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197709","","","","","","","","","","","","","","","【レインズ】","","",""
"100124196014","01","03","02","（株）ミブコーポレーション　桜新町店","03-3420-3311","","","","00","","","","","東京都","世田谷区","砧１丁目","","パークハイム砧","","","","小田急線","千歳船橋","18","","","","","","","","","","","","","","","","","","5","","","","42500000","","1673000","507000","","","","","","","","83.99","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","19000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198109","","","","","","","","","","","","","","","【レインズ】","","",""
"100124110606","01","03","02","（株）住新センター","03-5790-6322","","","","00","","","","","東京都","世田谷区","砧１丁目","","パークハイム砧","","","","小田急線","千歳船橋","18","","","","","","","","","","","","","","","","","","5","","","","42500000","","1673000","507000","","","","","","","","83.99","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","19000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198109","","","","","","","","","","","","","","","【レインズ】","","",""
"100124269603","01","03","02","三井不動産リアルティ（株）三井のリハウス麻布センター","03-5545-3231","","","","00","","","","","東京都","世田谷区","大原２丁目","","代田ロイヤルパレス","","","","京王線","代田橋","2","","","","","","","","","","","","","","","","","","5","","","","30000000","","1479000","448000","","","","","","","","67.07","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","21763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","196907","","","","","","","","","","","","","","","【レインズ】","","",""
"100124134122","01","03","02","（株）福屋不動産販売　調布店","0424982981","","","","00","","","","","東京都","世田谷区","赤堤２丁目","","三田豪徳寺コーポ","","","","小田急線","豪徳寺","6","","","","","","","","","","","","","","","","","","5","","","","13800000","","1393000","422000","","","","","","","","32.77","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","7000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124236310","01","03","02","三菱ＵＦＪ不動産販売（株）　池袋西口センター","03-3987-8551","","","","00","","","","","東京都","世田谷区","上北沢４丁目","","セザール上北沢","","","","京王線","八幡山","4","","","","","","","","","","","","","","","","","","5","","","","32800000","","2779000","841000","","","","","","","","39.03","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","9330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198404","","","","","","","","","","","","","","","【レインズ】","","",""
"100123670677","01","03","02","（株）アーツ","03-5721-7022","","","","00","","","","","東京都","世田谷区","下馬５丁目","","秀和祐天寺レジデンス","","","","東横線","祐天寺","10","","","","","","","","","","","","","","","","","","4","","","","29800000","","2131000","645000","","","","","","","","46.24","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","196910","","","","","","","","","","","","","","","【レインズ】","","",""
"100124525869","01","03","02","（株）アンハウス","09012581814","","","","00","","","","","東京都","世田谷区","砧２丁目","","真和ハイツ","","","","小田急線","千歳船橋","13","","","","","","","","","","","","","","","","","","1","","","","21800000","","1999000","605000","","","","","","","","36.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197206","","","","","","","","","","","","","","","【レインズ】","","",""
"100122128889","01","03","02","（株）ウダツ","050-3188-9563","","","","00","","","","","東京都","世田谷区","弦巻２丁目","","シャンボール弦巻","","","","田園都市線","駒沢大学","12","","","","","","","","","","","","","","","","","","1","","","","29900000","","2853000","863000","","","","","","","","34.65","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","6000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197710","","","","","","","","","","","","","","","【レインズ】","","",""
