"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100121484865","01","03","02","（株）ＰＩＭ","03-5468-5777","","","","00","","","","","東京都","世田谷区","等々力６丁目","","東急ドエル・プレステージ等々力","","","","東横線","自由が丘","11","","","","","","","","","","","","","","","","","","1","","","","123800000","","5052000","1529000","","","","","","","","81.01","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","27100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199703","","","","","","","","","","","","","","","【レインズ】","","",""
"100124595504","01","03","02","野村不動産ソリューションズ（株）　渋谷営業部","03-5766-2813","","","","00","","","","","東京都","世田谷区","松原１丁目","","ユニーブル世田谷明大前","","","","井の頭線","明大前","3","","","","","","","","","","","","","","","","","","4","","","","128000000","","4362000","1320000","","","","","","","","97.01","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","28600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200910","","","","","","","","","","","","","","","【レインズ】","","",""
"100124541669","01","03","02","（株）リナート","03-6890-3220","","","","00","","","","","東京都","世田谷区","弦巻３丁目","","クレッセント桜新町パークサイド","","","","田園都市線","桜新町","8","","","","","","","","","","","","","","","","","","1","","","","89900000","","4148000","1255000","","","","","","","","71.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200203","","","","","","","","","","","","","","","【レインズ】","","",""
"100124583501","01","03","02","（株）マスターズ・コンサルティング","03-6804-2872","","","","00","","","","","東京都","世田谷区","池尻３丁目","","アトラス池尻レジデンス","","","","田園都市線","池尻大橋","6","","","","","","","","","","","","","","","","","","4","","","","129200000","","5886000","1781000","","","","","","","","72.57","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","1","","","","","17800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","201403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594273","01","03","02","（株）リビタ","03-5656-0088","","","","00","","","","","東京都","世田谷区","玉川１丁目","","二子玉川ライズタワー＆レジデンス　イースト棟","","","","田園都市線","二子玉川","7","","","","","","","","","","","","","","","","","","1","","","","588000000","","8902000","2693000","","","","","","","","218.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","【レインズ】","","",""
"100124546181","01","03","02","（株）長谷工リアルエステート　駒沢店","080-8131-4292","","","","00","","","","","東京都","世田谷区","船橋２丁目","","ザ・レジデンス千歳船橋グランエアレジデンス","","","","小田急線","千歳船橋","9","","","","","","","","","","","","","","","","","","4","","","","138000000","","4591000","1389000","","","","","","","","99.38","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","20870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","201102","","","","","","","","","","","","","","","【レインズ】","","",""
"100124593286","01","03","02","（株）大京穴吹不動産　桜新町店","03-5426-3251","","","","00","","","","","東京都","世田谷区","弦巻４丁目","","桜新町シティハウス","","","","田園都市線","桜新町","14","","","","","","","","","","","","","","","","","","5","","","","89800000","","3526000","1067000","","","","","","","","84.21","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","37700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199008","","","","","","","","","","","","","","","【レインズ】","","",""
"100123802305","01","03","02","（株）ニューユニークス","03-5789-6146","","","","00","","","","","東京都","世田谷区","弦巻３丁目","","ディアクオーレ桜新町アーティスフォルム","","","","田園都市線","桜新町","9","","","","","","","","","","","","","","","","","","1","","","","87800000","","4231000","1280000","","","","","","","","68.61","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","18120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200305","","","","","","","","","","","","","","","【レインズ】","","",""
"100124592583","01","03","02","（株）バンブーインターナショナル","090-6034-3150","","","","00","","","","","東京都","世田谷区","祖師谷３丁目","","成城ハイム２号棟","","","","小田急線","成城学園前","6","","","","","","","","","","","","","","","","","","1","","","","139800000","","4029000","1219000","","","","","","","","114.71","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","23790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198201","","","","","","","","","","","","","","","【レインズ】","","",""
"100122327180","01","03","02","野村不動産ソリューションズ（株）　たまプラーザセンター","045-904-2005","","","","00","","","","","東京都","世田谷区","弦巻５丁目","","コスモリヴェール世田谷弦巻ＩＩ","","","","田園都市線","桜新町","13","","","","","","","","","","","","","","","","","","4","","","","99800000","","2200000","666000","","","","","","","","150.02","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","37200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198906","","","","","","","","","","","","","","","【レインズ】","","",""
