"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124039578","01","03","02","（株）久松商事","03-3661-3211","","","","00","","","","","東京都","中央区","日本橋浜町１丁目","","セブンスターマンション日本橋浜町","","","","都営新宿線","浜町","4","","","","","","","","","","","","","","","","","","5","","","","19600000","","1767000","535000","","","","","","","","36.68","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","8490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197605","","","","","","","","","","","","","","","【レインズ】","","",""
"100123760615","01","03","02","（株）アルファ企画","03-6388-9326","","","","00","","","","","東京都","中央区","日本橋浜町２丁目","","ニュー浜町ダイヤマンション","","","","都営新宿線","浜町","4","","","","","","","","","","","","","","","","","","5","","","","19900000","","1970000","596000","","","","","","","","33.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","16020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197202","","","","","","","","","","","","","","","【レインズ】","","",""
"100123879682","01","03","02","住友不動産販売（株）　浦安営業センター","047-355-6311","","","","00","","","","","東京都","中央区","日本橋浜町２丁目","","ニュー浜町ダイヤマンション","","","","都営新宿線","浜町","4","","","","","","","","","","","","","","","","","","5","","","","19900000","","1970000","596000","","","","","","","","33.40","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","16020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197202","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600351","01","03","02","Ｈｅｕｒｅｕｘ建設（株）","03-6381-6315","","","","00","","","","","東京都","中央区","勝どき３丁目","","勝どきハイム","","","","大江戸線","勝どき","5","","","","","","","","","","","","","","","","","","3","","","","21000000","","2027000","614000","","","","","","","","34.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","7090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","19800","","","","","","","","","","","","","","","【レインズ】","","",""
"100123986793","01","03","02","野村不動産ソリューションズ（株）　渋谷営業部","03-5766-2814","","","","00","","","","","東京都","中央区","勝どき４丁目","","シャンボール勝どき","","","","大江戸線","勝どき","1","","","","","","","","","","","","","","","","","","5","","","","22800000","","2357000","713000","","","","","","","","31.99","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","5500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198004","","","","","","","","","","","","","","","【レインズ】","","",""
"100123808197","01","03","02","（株）坂本商事","07033531029","","","","00","","","","","東京都","中央区","新川２丁目","","ニューハイツ八丁堀","","","","日比谷線","八丁堀","6","","","","","","","","","","","","","","","","","","5","","","","22800000","","2393000","724000","","","","","","","","31.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198111","","","","","","","","","","","","","","","【レインズ】","","",""
"100123683653","01","03","02","（株）政和コーポレーション","080-4336-4131","","","","00","","","","","東京都","中央区","勝どき５丁目","","シャンボール第２築地・３パーあり","","","","大江戸線","勝どき","9","","","","","","","","","","","","","","","","","","1","","","","22800000","","2162000","654000","","","","","","","","34.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","5800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19730","","","","","","","","","","","","","","","【レインズ】","","",""
"100124450163","01","03","02","東急リバブル（株）　銀座センター","03-3547-3691","","","","00","","","","","東京都","中央区","日本橋中洲","","浜町グランドハイツ","","","","半蔵門線","水天宮前","6","","","","","","","","","","","","","","","","","","5","","","","23800000","","2319000","702000","","","","","","","","33.93","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","4640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","197608","","","","","","","","","","","","","","","【レインズ】","","",""
"100124280564","01","03","02","住友不動産販売（株）　八重洲統括オフィス　八重洲営業センター","03-6852-0225","","","","00","","","","","東京都","中央区","日本橋中洲","","浜町グランドハイツ","","","","半蔵門線","水天宮前","6","","","","","","","","","","","","","","","","","","5","","","","23800000","","2319000","702000","","","","","","","","33.93","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","4640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","197608","","","","","","","","","","","","","","","【レインズ】","","",""
"100124381596","01","03","02","オークラヤ住宅（株）　新宿支社　営業第一部","03-6368-4960","","","","00","","","","","東京都","中央区","日本橋中洲","","浜町グランドハイツ","","","","半蔵門線","水天宮前","6","","","","","","","","","","","","","","","","","","5","","","","23800000","","2319000","702000","","","","","","","","33.93","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","4640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","197608","","","","","","","","","","","","","","","【レインズ】","","",""
