"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100122991792","01","03","02","野村不動産ソリューションズ（株）　勝どきセンター","03-3534-7870","","","","00","","","","","東京都","中央区","晴海５丁目","","ザ・晴海レジデンス","","","","大江戸線","勝どき","12","","","","","","","","","","","","","","","","","","4","","","","75800000","","3300000","999000","","","","","","","","75.95","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","17600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","200903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124422388","01","03","02","野村不動産ソリューションズ（株）　五反田センター","03-3492-5101","","","","00","","","","","東京都","中央区","晴海２丁目","","ザ・パークハウス晴海タワーズクロノレジデンス","","","","大江戸線","勝どき","11","","","","","","","","","","","","","","","","","","4","","","","75800000","","3730000","1129000","","","","","","","","67.18","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","19960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","201310","","","","","","","","","","","","","","","【レインズ】","","",""
"100124286059","01","03","02","ロイヤルハウジング販売（株）　勝どきビュータワー店","070-2487-6754","","","","00","","","","","東京都","中央区","晴海３丁目","","ベイサイドタワー晴海","","","","大江戸線","勝どき","10","","","","","","","","","","","","","","","","","","4","","","","76500000","","4422000","1338000","","","","","","","","57.20","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","23365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","201510","","","","","","","","","","","","","","","【レインズ】","","",""
"100123150240","01","03","02","三井不動産リアルティ（株）三井のリハウス勝どきセンター","03-3533-5731","","","","00","","","","","東京都","中央区","晴海３丁目","","ドゥ・トゥール","","","","大江戸線","勝どき","10","","","","","","","","","","","","","","","","","","4","","","","76500000","","5577000","1687000","","","","","","","","45.35","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","13588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","201510","","","","","","","","","","","","","","","【レインズ】","","",""
"100124441726","01","03","02","ロイヤルハウジング販売（株）　勝どきビュータワー店","03-6864-1811","","","","00","","","","","東京都","中央区","晴海２丁目","","ザ・パークハウス晴海タワーズ　ティアロレジデンス","","","","大江戸線","勝どき","13","","","","","","","","","","","","","","","","","","4","","","","76800000","","3874000","1172000","","","","","","","","65.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","201603","","","","","","","","","","","","","","","【レインズ】","","",""
"100124291394","01","03","02","ロイヤルハウジング販売（株）　勝どきビュータワー店","03-6864-1811","","","","00","","","","","東京都","中央区","勝どき６丁目","","ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡＴＯＷＥＲ","","","","大江戸線","勝どき","7","","","","","","","","","","","","","","","","","","4","","","","76800000","","4026000","1218000","","","","","","","","63.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200801","","","","","","","","","","","","","","","【レインズ】","","",""
"100124166832","01","03","02","東急リバブル（株）　勝どきセンター","03-6866-3861","","","","00","","","","","東京都","中央区","築地７丁目","","プレミスト東銀座築地Ｅｄｇｅ　Ｃｏｕｒｔ","","","","日比谷線","築地","5","","","","","","","","","","","","","","","","","","5","","","","76900000","","5080000","1537000","","","","","","","","50.05","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","17400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","202006","","","","","","","","","","","","","","","【レインズ】","","",""
"100124196062","01","03","02","（株）セイコースタンダード","080-9021-1362","","","","00","","","","","東京都","中央区","晴海３丁目","","ドゥ・トゥール　イースト","","","","大江戸線","勝どき","9","","","","","","","","","","","","","","","","","","2","","","","76900000","","5929000","1794000","","","","","","","","42.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","201510","","","","","","","","","","","","","","","【レインズ】","","",""
"100124096849","01","03","02","大和ハウスリアルエステート（株）　東京支社","080-7935-2166","","","","00","","","","","東京都","中央区","日本橋浜町１丁目","","プレミスト日本橋浜町リデアル","","","","都営新宿線","浜町","3","","","","","","","","","","","","","","","","","","4","","","","77000000","","4457000","1349000","","","","","","","","57.12","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","201102","","","","","","","","","","","","","","","【レインズ】","","",""
"100115296255","01","03","02","三井不動産リアルティ（株）三井のリハウス勝どきセンター","03-3533-5731","","","","00","","","","","東京都","中央区","晴海３丁目","","ドゥ・トゥール","","","","大江戸線","勝どき","10","","","","","","","","","","","","","","","","","","5","","","","77000000","","5301000","1604000","","","","","","","","48.02","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","14308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","201510","","","","","","","","","","","","","","","【レインズ】","","",""
"100124532436","01","03","02","朝日住宅（株）　都心店","03-3345-9551","","","","00","","","","","東京都","中央区","勝どき４丁目","","グレーシア勝どき","","","","大江戸線","勝どき","2","","","","","","","","","","","","","","","","","","5","","","","77800000","","3985000","1206000","","","","","","","","64.55","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","14920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201410","","","","","","","","","","","","","","","【レインズ】","","",""
"100123052225","01","03","02","東急リバブル（株）　品川センター","03-6455-1301","","","","00","","","","","東京都","中央区","勝どき５丁目","","ライオンズマンション勝どき第２","","","","大江戸線","勝どき","10","","","","","","","","","","","","","","","","","","4","","","","77800000","","3517000","1064000","","","","","","","","73.13","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","18280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","199906","","","","","","","","","","","","","","","【レインズ】","","",""
"100123984990","01","03","02","（株）Ｖクルーズ","03-5117-3502","","","","00","","","","","東京都","中央区","勝どき４丁目","","グレーシア勝どき","","","","大江戸線","勝どき","2","","","","","","","","","","","","","","","","","","5","","","","77800000","","3985000","1206000","","","","","","","","64.55","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","14920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201410","","","","","","","","","","","","","","","【レインズ】","","",""
"100122873990","01","03","02","東急リバブル（株）　投資事業一課","03-3463-6147","","","","00","","","","","東京都","中央区","晴海３丁目","","ドゥ・トゥール　ＥＡＳＴ","","","","大江戸線","勝どき","9","","","","","","","","","","","","","","","","","","3","","","","77900000","","6006000","1817000","","","","","","","","42.88","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","12928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","201511","","","","","","","","","","","","","","","【レインズ】","","",""
"100124012601","01","03","02","（株）大京穴吹不動産　アセット事業部","050-3628-8514","","","","00","","","","","東京都","中央区","湊３丁目","","カルムインフォアームズ東京コア","","","","有楽町線","新富町","5","","","","","","","","","","","","","","","","","","1","","","","77980000","","4351000","1317000","","","","","","","","59.25","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","11380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","200006","","","","","","","","","","","","","","","【レインズ】","","",""
"100122065758","01","03","02","東急リバブル（株）　投資事業一課","03-3463-6147","","","","00","","","","","東京都","中央区","勝どき５丁目","","クレストシティレジデンス","","","","大江戸線","勝どき","9","","","","","","","","","","","","","","","","","","3","","","","78000000","","3668000","1110000","","","","","","","","70.31","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","1","","","","","16900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","200702","","","","","","","","","","","","","","","【レインズ】","","",""
"100124428430","01","03","02","（有）ペガサス","03-5420-8866","","","","00","","","","","東京都","中央区","新川２丁目","","クレヴィア東京八丁堀","","","","日比谷線","八丁堀","4","","","","","","","","","","","","","","","","","","3","","","","78000000","","4754000","1439000","","","","","","","","54.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","201902","","","","","","","","","","","","","","","【レインズ】","","",""
"100123122151","01","03","02","（株）ＡＣＥ　ＣＲＯＳＳ","03-5315-4846","","","","00","","","","","東京都","中央区","晴海２丁目","","パークタワー晴海","","","","有楽町線","月島","12","","","","","","","","","","","","","","","","","","5","","","","78500000","","4523000","1369000","","","","","","","","57.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","201902","","","","","","","","","","","","","","","【レインズ】","","",""
"100123948235","01","03","02","スター・マイカ・レジデンス（株）","03-5776-2555","","","","00","","","","","東京都","中央区","日本橋人形町２丁目","","グランスイート日本橋人形町","","","","日比谷線","人形町","1","","","","","","","","","","","","","","","","","","5","","","","78800000","","4690000","1419000","","","","","","","","55.55","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","200503","","","","","","","","","","","","","","","【レインズ】","","",""
