"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124605233","01","03","02","（株）日新ハウジング","03-3228-0701","","","","00","","","","","東京都","中野区","中央４丁目","","新中野マンション","","","","丸ノ内線","新中野","3","","","","","","","","","","","","","","","","","","3","","","","21800000","","2356000","713000","","","","","","","","30.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","196910","","","","","","","","","","","","","","","【レインズ】","","",""
"100124584784","01","03","02","（株）いーふらん","0120-150-318","","","","00","","","","","東京都","中野区","中央４丁目","","日興マンション","","","","丸ノ内線","新中野","1","","","","","","","","","","","","","","","","","","1","","","","33800000","","2432000","736000","","","","","","","","45.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124301839","01","03","02","三井住友トラスト不動産（株）　本社営業センター","03-5219-6300","","","","00","","","","","東京都","中野区","上鷺宮３丁目","","ザ・パークハウス上鷺宮","","","","西武池袋線","富士見台","5","","","","","","","","","","","","","","","","","","5","","","","75800000","","3508000","1062000","","","","","","","","71.44","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","17650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201502","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600347","01","03","02","Ｈｅｕｒｅｕｘ建設（株）","0363816315","","","","00","","","","","東京都","中野区","南台２丁目","","リモージュ南台","","","","丸ノ内方南","中野富士見町","10","","","","","","","","","","","","","","","","","","4","","","","149000000","","3041000","920000","","","","","","","","162.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","199203","","","","","","","","","","","","","","","【レインズ】","","",""
"100120217524","01","03","02","（株）トータツ","0369086991","","","","00","","","","","東京都","中野区","東中野１丁目","","東中野コーポ","","","","総武中央線","東中野","1","","","","","","","","","","","","","","","","","","2","","","","59800000","","2906000","879000","","","","","","","","68.04","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197110","","","","","","","","","","","","","","","【レインズ】","","",""
"100124583974","01","03","02","（株）北辰座","03-6912-6281","","","","00","","","","","東京都","中野区","本町３丁目","","中野永谷マンション","","","","丸ノ内線","中野坂上","5","","","","","","","","","","","","","","","","","","5","","","","37000000","","3630000","1098000","","","","","","","","33.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","201312","","","","","","","","","","","","","","","【レインズ】","","",""
"100124454778","01","03","02","ホーミット（株）","090-7838-9680","","","","00","","","","","東京都","中野区","南台５丁目","","中野方南町グランドハイツ","","","","丸ノ内方南","方南町","7","","","","","","","","","","","","","","","","","","5","","","","69900000","","3571000","1081000","","","","","","","","64.71","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","9800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199509","","","","","","","","","","","","","","","【レインズ】","","",""
"100124596090","01","03","02","（有）中新不動産","0333833011","","","","00","","","","","東京都","中野区","南台２丁目","","セーナ中野南台","","","","丸ノ内方南","中野新橋","8","","","","","","","","","","","","","","","","","","4","","","","37500000","","3543000","1072000","","","","","","","","34.99","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","7000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100122514024","01","03","02","（株）ミライエ","03-5807-1722","","","","00","","","","","東京都","中野区","東中野１丁目","","ホームズ東中野","","","","総武中央線","東中野","7","","","","","","","","","","","","","","","","","","5","","","","40000000","","2886000","873000","","","","","","","","45.83","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","12100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","199606","","","","","","","","","","","","","","","【レインズ】","","",""
"100124494387","01","03","02","野村不動産ソリューションズ（株）　浦和営業部","048-833-3191","","","","00","","","","","東京都","中野区","中央１丁目","","ピアース中野坂上","","","","丸ノ内線","中野坂上","3","","","","","","","","","","","","","","","","","","5","","","","74800000","","4586000","1387000","","","","","","","","53.93","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","18900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201803","","","","","","","","","","","","","","","【レインズ】","","",""
