"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100121940055","01","03","02","（株）プルデンス","09045457922","","","","00","","","","","東京都","千代田区","外神田３丁目","","末広町ハイム","","","","銀座線","末広町","4","","","","","","","","","","","","","","","","","","4","","","","18500000","","2009000","608000","","","","","","","","30.45","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","14600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197512","","","","","","","","","","","","","","","【レインズ】","","",""
"100124593450","01","03","02","（株）ランドネット","03-3986-7268","","","","00","","","","","東京都","千代田区","神田東紺屋町","","サンハイツ神田キタムラビル","","","","山手線","神田","5","","","","","","","","","","","","","","","","","","1","","","","27800000","","2857000","865000","","","","","","","","32.17","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","11100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198209","","","","","","","","","","","","","","","【レインズ】","","",""
"100124453250","01","03","02","（株）アップタウン　自由ヶ丘店","03-5729-1717","","","","00","","","","","東京都","千代田区","神田神保町２丁目","","メゾン・ド・ヴィレ神田神保町","","","","半蔵門線","神保町","1","","","","","","","","","","","","","","","","","","4","","","","29800000","","2954000","894000","","","","","","","","33.36","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","13800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","200003","","","","","","","","","","","","","","","【レインズ】","","",""
"100122101676","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","千代田区","飯田橋１丁目","","ニューシティハイツ飯田橋","","","","総武中央線","飯田橋","4","","","","","","","","","","","","","","","","","","1","","","","31800000","","3159000","956000","","","","","","","","33.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","11270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198509","","","","","","","","","","","","","","","【レインズ】","","",""
"100124396819","01","03","02","辻・本郷スマートアセット（株）","08046001831","","","","00","","","","","東京都","千代田区","一番町","","シルバーマンション桔梗一番町","","","","半蔵門線","半蔵門","2","","","","","","","","","","","","","","","","","","4","","","","32800000","","3152000","954000","","","","","","","","34.41","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198204","","","","","","","","","","","","","","","【レインズ】","","",""
"100123917484","01","03","02","（株）ランドネット","03-3986-7203","","","","00","","","","","東京都","千代田区","神田佐久間町４丁目","","ＰＲＥＭＩＵＭ　ＣＵＢＥ秋葉原","","","","総武中央線","浅草橋","4","","","","","","","","","","","","","","","","","","4","","","","34800000","","3524000","1066000","","","","","","","","32.65","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","9700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","200808","","","","","","","","","","","","","","","【レインズ】","","",""
"100123304018","01","03","02","東急リバブル（株）　投資事業一課","03-3463-6147","","","","00","","","","","東京都","千代田区","神田佐久間町４丁目","","ＰＵＲＥＭＩＵＭ　ＣＵＢＥ秋葉原","","","","山手線","秋葉原","8","","","","","","","","","","","","","","","","","","4","","","","36000000","","3645000","1103000","","","","","","","","32.65","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","12400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","200808","","","","","","","","","","","","","","","【レインズ】","","",""
"100124037970","01","03","02","（株）ＴＡＣ　東京支店","03-5839-2937","","","","00","","","","","東京都","千代田区","東神田１丁目","","メゾン・ド・ヴィレ東神田","","","","総武線","馬喰町","4","","","","","","","","","","","","","","","","","","1","","","","36800000","","3278000","992000","","","","","","","","37.12","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","12300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200305","","","","","","","","","","","","","","","【レインズ】","","",""
"100123941363","01","03","02","コロンブス・メディア（株）","03-6806-0497","","","","00","","","","","東京都","千代田区","九段北４丁目","","グラックス市ヶ谷一口坂","","","","南北線","市ケ谷","4","","","","","","","","","","","","","","","","","","5","","","","36800000","","3646000","1103000","","","","","","","","33.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200505","","","","","","","","","","","","","","","【レインズ】","","",""
"100123750010","01","03","02","信和（株）","03-5830-6188","","","","00","","","","","東京都","千代田区","九段北４丁目","","グラックス市ヶ谷一口坂","","","","都営新宿線","市ヶ谷","3","","","","","","","","","","","","","","","","","","2","","","","36800000","","3646000","1103000","","","","","","","","33.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200505","","","","","","","","","","","","","","","【レインズ】","","",""
