"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123864093","01","03","02","（有）トノコーポレーション","047-710-0628","","","","00","","","","","東京都","台東区","蔵前３丁目","","蔵前ハイム","","","","大江戸線","蔵前","2","","","","","","","","","","","","","","","","","","5","","","","25800000","","1990000","602000","","","","","","","","42.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","198007","","","","","","","","","","","","","","","【レインズ】","","",""
"100124098555","01","03","02","（株）エム","03-5246-4730","","","","00","","","","","東京都","台東区","上野５丁目","","上野アビタシオン","","","","山手線","御徒町","4","","","","","","","","","","","","","","","","","","2","","","","30900000","","3052000","923000","","","","","","","","33.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198210","","","","","","","","","","","","","","","【レインズ】","","",""
"100124211425","01","03","02","（株）エム","03-5246-4730","","","","00","","","","","東京都","台東区","西浅草２丁目","","ブランシール浅草","","","","つくばＥＸ","浅草","2","","","","","","","","","","","","","","","","","","2","","","","31800000","","2503000","757000","","","","","","","","42.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197811","","","","","","","","","","","","","","","【レインズ】","","",""
"100124454342","01","03","02","（株）エム","03-5246-4730","","","","00","","","","","東京都","台東区","上野５丁目","","上野アビタシオン","","","","山手線","御徒町","4","","","","","","","","","","","","","","","","","","2","","","","32800000","","3239000","980000","","","","","","","","33.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198210","","","","","","","","","","","","","","","【レインズ】","","",""
"100123932373","01","03","02","（株）たすかけ","0422-39-8734","","","","00","","","","","東京都","台東区","北上野２丁目","","ケンコーハイツ北上野","","","","日比谷線","入谷","2","","","","","","","","","","","","","","","","","","4","","","","34900000","","1762000","533000","","","","","","","","65.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198101","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603089","01","03","02","（株）ホームネット","070-3122-0799","","","","00","","","","","東京都","台東区","浅草３丁目","","竹中シャルム","","","","総武中央線","浅草橋","3","","","","","","","","","","","","","","","","","","1","","","","32990000","","2563000","776000","","","","","","","","42.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197808","","","","","","","","","","","","","","","【レインズ】","","",""
"100118799723","01","03","02","（株）ａｔｓｅｅｄ","080-7608-6747","","","","00","","","","","東京都","台東区","浅草５丁目","","ＴＨＥ　Ｇｒａｎｄｅ　ｒｅｇａｒｏ　浅草","","","","つくばＥＸ","浅草","9","","","","","","","","","","","","","","","","","","1","","","","39000000","","3259000","986000","","","","","","","","39.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","7700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","201110","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601862","01","03","02","（株）ホームネット","070-3122-0799","","","","00","","","","","東京都","台東区","浅草３丁目","","竹中シャルム","","","","総武中央線","浅草橋","3","","","","","","","","","","","","","","","","","","1","","","","32990000","","2563000","776000","","","","","","","","42.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","13710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197808","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601780","01","03","02","（株）ブリリアント","08047500308","","","","00","","","","","東京都","台東区","蔵前３丁目","","蔵前ハイム","","","","大江戸線","蔵前","1","","","","","","","","","","","","","","","","","","1","","","","38800000","","2288000","693000","","","","","","","","56.06","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","15550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198007","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601766","01","03","02","（株）ホームネット","080-7273-9483","","","","00","","","","","東京都","台東区","元浅草１丁目","","ストークＴＳ元浅草","","","","大江戸線","新御徒町","3","","","","","","","","","","","","","","","","","","1","","","","32990000","","3111000","941000","","","","","","","","35.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","9800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198901","","","","","","","","","","","","","","","【レインズ】","","",""
