"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124073801","01","03","02","（株）正奇","080-4794-6336","","","","00","","","","","東京都","台東区","東上野１丁目","","デュオ・スカーラ御徒町　２パー","","","","大江戸線","新御徒町","1","","","","","","","","","","","","","","","","","","5","","","","47000000","","3714000","1124000","","","","","","","","41.84","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","11640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200211","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603939","01","03","02","（株）オーセントラスト","09028780718","","","","00","","","","","東京都","台東区","浅草橋４丁目","","イースト秋葉原","","","","総武中央線","浅草橋","4","","","","","","","","","","","","","","","","","","3","","","","55000000","","4118000","1246000","","","","","","","","44.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","200802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124348603","01","03","02","（株）ムゲンエステート　北千住営業所","080-4208-7804","","","","00","","","","","東京都","台東区","竜泉２丁目","","東京ビューマークス","","","","日比谷線","入谷","7","","","","","","","","","","","","","","","","","","1","","","","80800000","","3297000","998000","","","","","","","","81.02","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","11510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200302","","","","","","","","","","","","","","","【レインズ】","","",""
"100124553051","01","03","02","みずほ不動産販売（株）　上野営業第二部","03-3839-4722","","","","00","","","","","東京都","台東区","浅草６丁目","","浅草第３ダイヤモンドマンション","","","","銀座線","浅草","7","","","","","","","","","","","","","","","","","","4","","","","65000000","","3496000","1058000","","","","","","","","61.48","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","200104","","","","","","","","","","","","","","","【レインズ】","","",""
"100121919782","01","03","02","（株）ａｔｓｅｅｄ","080-7608-6747","","","","00","","","","","東京都","台東区","浅草５丁目","","グラントレゾール浅草","","","","つくばＥＸ","浅草","10","","","","","","","","","","","","","","","","","","1","","","","43800000","","2893000","876000","","","","","","","","50.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201102","","","","","","","","","","","","","","","【レインズ】","","",""
"100122732323","01","03","02","ＳＲＥホールディングス（株）","03-6274-6077","","","","00","","","","","東京都","台東区","松が谷２丁目","","ブリリア上野松が谷","","","","銀座線","稲荷町","9","","","","","","","","","","","","","","","","","","1","","","","75800000","","3655000","1106000","","","","","","","","68.57","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","17500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","201507","","","","","","","","","","","","","","","【レインズ】","","",""
"300124601796","01","03","02","（株）ピーエムドゥ","075-354-1750","","","","00","","","","","東京都","台東区","東浅草１丁目","","ナイスアーバン浅草","","","","伊勢崎線","浅草","12","","","","","","","","","","","","","","","","","","4","","","","44980000","","2556000","773000","","","","","","","","58.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","199908","","","","","","","","","","","","","","","【レインズ】","","",""
"100123485702","01","03","02","（株）大京穴吹不動産　上野店","03-3832-3171","","","","00","","","","","東京都","台東区","小島２丁目","","センチュリーハイツ御徒町モダニカ","","","","大江戸線","新御徒町","3","","","","","","","","","","","","","","","","","","4","","","","59800000","","3575000","1082000","","","","","","","","55.30","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","200402","","","","","","","","","","","","","","","【レインズ】","","",""
"100123288079","01","03","02","（株）大京穴吹不動産　上野店","03-3832-3171","","","","00","","","","","東京都","台東区","根岸５丁目","","クレアシティ根岸","","","","日比谷線","入谷","8","","","","","","","","","","","","","","","","","","1","","","","65980000","","3058000","925000","","","","","","","","71.34","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200602","","","","","","","","","","","","","","","【レインズ】","","",""
"100123450157","01","03","02","（株）大京穴吹不動産　上野店","03-3832-3171","","","","00","","","","","東京都","台東区","浅草３丁目","","モアシティ浅草","","","","つくばＥＸ","浅草","4","","","","","","","","","","","","","","","","","","1","","","","40980000","","2665000","807000","","","","","","","","50.84","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","27190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199006","","","","","","","","","","","","","","","【レインズ】","","",""
