"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100118762454","01","03","02","三菱ＵＦＪ不動産販売（株）　五反田センター","03-3494-9101","","","","00","","","","","東京都","品川区","東品川３丁目","","ラグナタワー","","","","りんかい線","天王洲アイル","7","","","","","","","","","","","","","","","","","","5","","","","110000000","","3811000","1153000","","","","","","","","95.44","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","23600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100124595508","01","03","02","野村不動産ソリューションズ（株）　渋谷営業部","03-5766-2814","","","","00","","","","","東京都","品川区","東大井３丁目","","パレ・プラス大井町","","","","京浜東北線","大井町","9","","","","","","","","","","","","","","","","","","5","","","","79800000","","4121000","1247000","","","","","","","","64.02","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","20290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","199510","","","","","","","","","","","","","","","【レインズ】","","",""
"100121501326","01","03","02","三井不動産リアルティ（株）麻布リアルプランセンター","03-5789-3131","","","","00","","","","","東京都","品川区","上大崎３丁目","","ＢｒｉｌｌｉａＴｏｗｅｒｓ目黒　サウスレジデンス","","","","山手線","目黒","3","","","","","","","","","","","","","","","","","","4","","","","549000000","","12104000","3662000","","","","","","","","149.94","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","51842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","201707","","","","","","","","","","","","","","","【レインズ】","","",""
"100123761157","01","03","02","三菱ＵＦＪ不動産販売（株）　五反田センター","03-3494-9101","","","","00","","","","","東京都","品川区","南品川５丁目","","アリュールゼームス坂","","","","京浜東北線","大井町","5","","","","","","","","","","","","","","","","","","4","","","","131540000","","4878000","1476000","","","","","","","","89.15","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","31290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","200901","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603393","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","西五反田３丁目","","ＢＥＬＩＳＴＡ目黒不動前","","","","目黒線","不動前","6","","","","","","","","","","","","","","","","","","1","","","","99800000","","5100000","1543000","","","","","","","","64.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201002","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603369","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","東品川３丁目","","ラグナタワー","","","","りんかい線","天王洲アイル","7","","","","","","","","","","","","","","","","","","1","","","","86800000","","3333000","1009000","","","","","","","","86.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603366","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","西五反田４丁目","","ルフォン不動前","","","","目黒線","不動前","4","","","","","","","","","","","","","","","","","","1","","","","99900000","","5502000","1665000","","","","","","","","60.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","201202","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603359","01","03","02","（株）パックシステム","070-1546-2905","","","","00","","","","","東京都","品川区","上大崎４丁目","","マンション雅叙苑２号棟","","","","山手線","目黒","7","","","","","","","","","","","","","","","","","","1","","","","66890000","","3655000","1106000","","","","","","","","60.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16882","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197109","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603347","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","大井１丁目","","東急ドエルアルス大井一丁目","","","","京浜東北線","大井町","4","","","","","","","","","","","","","","","","","","1","","","","86800000","","3909000","1183000","","","","","","","","73.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","199809","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603343","01","03","02","（株）パックシステム","080-3707-7942","","","","00","","","","","東京都","品川区","西五反田４丁目","","ルピナス不動前","","","","目黒線","不動前","7","","","","","","","","","","","","","","","","","","1","","","","67000000","","4086000","1236000","","","","","","","","54.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199702","","","","","","","","","","","","","","","【レインズ】","","",""
