"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124604391","01","03","02","（株）ホームネット","070-3122-0785","","","","00","","","","","東京都","品川区","上大崎１丁目","","ハイツ目黒","","","","山手線","目黒","10","","","","","","","","","","","","","","","","","","1","","","","26900000","","2723000","824000","","","","","","","","32.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197707","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603355","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","東品川３丁目","","日商岩井東品川マンション","","","","京浜急行線","新馬場","6","","","","","","","","","","","","","","","","","","1","","","","41000000","","2402000","727000","","","","","","","","56.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197309","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603349","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","荏原２丁目","","朝日武蔵小山マンション","","","","目黒線","武蔵小山","10","","","","","","","","","","","","","","","","","","1","","","","49800000","","2823000","854000","","","","","","","","58.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198503","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603324","01","03","02","（株）パックシステム","080-7278-3637","","","","00","","","","","東京都","品川区","東五反田１丁目","","セブンスターマンション島津山","","","","山手線","五反田","5","","","","","","","","","","","","","","","","","","3","","","","57300000","","3311000","1002000","","","","","","","","57.22","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","19240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","198510","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603323","01","03","02","（株）パックシステム","080-9087-6983","","","","00","","","","","東京都","品川区","旗の台２丁目","","旗の台スカイマンション","","","","池上線","旗の台","5","","","","","","","","","","","","","","","","","","1","","","","55800000","","3523000","1066000","","","","","","","","52.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","198311","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603289","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","品川区","南品川３丁目","","南品川パークホームズ","","","","京浜急行線","青物横丁","3","","","","","","","","","","","","","","","","","","1","","","","59800000","","3644000","1103000","","","","","","","","54.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198411","","","","","","","","","","","","","","","【レインズ】","","",""
"100124586055","01","03","02","（株）南海","03-3805-6662","","","","00","","","","","東京都","品川区","八潮５丁目","","シティコープ八潮浜２０号棟","","","","東京モノレ","大井競馬場前","10","","","","","","","","","","","","","","","","","","1","","","","39800000","","1801000","545000","","","","","","","","73.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198306","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601626","01","03","02","（株）朝日・マンション住替センター","080-9807-1063","","","","00","","","","","東京都","品川区","西五反田８丁目","","グリーンプラザ五反田","","","","山手線","五反田","7","","","","","","","","","","","","","","","","","","1","","","","53800000","","3404000","1030000","","","","","","","","52.25","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","198207","","","","","","","","","","","","","","","【レインズ】","","",""
"100121924066","01","03","02","（株）フリーダムコーポレーション","03-5474-5103","","","","00","","","","","東京都","品川区","上大崎３丁目","","目黒ハイホーム","","","","山手線","五反田","7","","","","","","","","","","","","","","","","","","3","","","","26800000","","2322000","703000","","","","","","","","38.16","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","196911","","","","","","","","","","","","","","","【レインズ】","","",""
"100124528027","01","03","02","（株）大京穴吹不動産　五反田店","03-5447-6833","","","","00","","","","","東京都","品川区","東中延１丁目","","アイディーコート荏原中延","","","","池上線","荏原中延","4","","","","","","","","","","","","","","","","","","3","","","","47800000","","3909000","1183000","","","","","","","","40.43","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","10230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","201201","","","","","","","","","","","","","","","【レインズ】","","",""
