"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124605172","01","03","02","Ｇｐｌｕｓ（株）","03-5577-6611","","","","00","","","","","東京都","墨田区","八広６丁目","","シティコーポ隅田","","","","京成押上線","八広","6","","","","","","","","","","","","","","","","","","1","","","","25500000","","1859000","563000","","","","","","","","45.36","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198706","","","","","","","","","","","","","","","【レインズ】","","",""
"100124232383","01","03","02","（株）Ｒ．ｃｏｎｎｅｃｔ","03-6277-6194","","","","00","","","","","東京都","墨田区","向島５丁目","","アーリアシティ曳舟Ⅱ","","","","東武亀戸線","曳舟","9","","","","","","","","","","","","","","","","","","5","","","","38800000","","2269000","687000","","","","","","","","56.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201506","","","","","","","","","","","","","","","【レインズ】","","",""
"100124549618","01","03","02","（株）ａｔｓｅｅｄ","080-7608-6747","","","","00","","","","","東京都","墨田区","江東橋４丁目","","錦糸町グリーンプラザ","","","","半蔵門線","錦糸町","5","","","","","","","","","","","","","","","","","","1","","","","30800000","","2748000","832000","","","","","","","","37.06","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198104","","","","","","","","","","","","","","","【レインズ】","","",""
"100123941232","01","03","02","（株）マイプレイス","03-5652-8330","","","","00","","","","","東京都","墨田区","江東橋２丁目","","ドルミ錦糸町長谷川ビル","","","","総武線","錦糸町","7","","","","","","","","","","","","","","","","","","1","","","","37900000","","2278000","690000","","","","","","","","55.00","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198012","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594946","01","03","02","（株）ハウジングプラザ","080-4290-6225","","","","00","","","","","東京都","墨田区","文花２丁目","","サンヴィヴァン亀戸ＮＯＲＴＨ","","","","東武亀戸線","小村井","4","","","","","","","","","","","","","","","","","","4","","","","36300000","","2511000","760000","","","","","","","","47.80","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","11950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","201511","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600373","01","03","02","Ｈｅｕｒｅｕｘ建設（株）","03-6381-6315","","","","00","","","","","東京都","墨田区","東向島２丁目","","サニーフラット","","","","伊勢崎線","曳舟","4","","","","","","","","","","","","","","","","","","1","","","","37800000","","1587000","480000","","","","","","","","78.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198011","","","","","","","","","","","","","","","【レインズ】","","",""
"100121457378","01","03","02","（株）セントラルアセット","050-3628-1137","","","","00","","","","","東京都","墨田区","石原２丁目","","ルーブル両国","","","","大江戸線","両国","9","","","","","","","","","","","","","","","","","","4","","","","37800000","","2837000","859000","","","","","","","","44.05","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","10500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","200808","","","","","","","","","","","","","","","【レインズ】","","",""
"100123337526","01","03","02","三井不動産リアルティ（株）三井のリハウス錦糸町センター","03-3633-3131","","","","00","","","","","東京都","墨田区","京島１丁目","","曳舟ダイヤモンドマンション","","","","京成押上線","京成曳舟","4","","","","","","","","","","","","","","","","","","5","","","","29900000","","1940000","587000","","","","","","","","50.96","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198104","","","","","","","","","","","","","","","【レインズ】","","",""
"100124485140","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","墨田区","太平１丁目","","ライオンズマンション錦糸町第６","","","","総武中央線","錦糸町","9","","","","","","","","","","","","","","","","","","1","","","","29800000","","2909000","880000","","","","","","","","33.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198709","","","","","","","","","","","","","","","【レインズ】","","",""
"100124592904","01","03","02","（株）未来都市開発","080-1266-9355","","","","00","","","","","東京都","墨田区","墨田４丁目","","パールマンション墨田１番館","","","","伊勢崎線","鐘ヶ淵","7","","","","","","","","","","","","","","","","","","1","","","","29990000","","1923000","582000","","","","","","","","51.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199004","","","","","","","","","","","","","","","【レインズ】","","",""
