"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124604503","01","03","02","（株）サン・クルー","090-3067-3039","","","","00","","","","","東京都","墨田区","立花５丁目","","キャッスルマンション亀戸立花弐番館","","","","東武亀戸線","小村井","3","","","","","","","","","","","","","","","","","","1","","","","49800000","","2565000","776000","","","","","","","","64.20","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","199911","","","","","","","","","","","","","","","【レインズ】","","",""
"100122584935","01","03","02","（株）マイプレイス","03-5652-8330","","","","00","","","","","東京都","墨田区","緑３丁目","","パーク・ノヴァ両国緑","","","","都営新宿線","菊川","10","","","","","","","","","","","","","","","","","","1","","","","55900000","","2792000","845000","","","","","","","","66.19","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","20100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199008","","","","","","","","","","","","","","","【レインズ】","","",""
"100123551677","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","墨田区","押上３丁目","","ライオンズマンション押上第２","","","","都営浅草線","押上","7","","","","","","","","","","","","","","","","","","1","","","","54900000","","3082000","933000","","","","","","","","58.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199902","","","","","","","","","","","","","","","【レインズ】","","",""
"100124177644","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","墨田区","本所３丁目","","クレストフォルム本所吾妻橋","","","","都営浅草線","本所吾妻橋","9","","","","","","","","","","","","","","","","","","1","","","","51900000","","3141000","951000","","","","","","","","54.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200408","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600403","01","03","02","スター・マイカ・レジデンス（株）","03-5776-2555","","","","00","","","","","東京都","墨田区","本所１丁目","","モナークキャッスル両国","","","","大江戸線","蔵前","4","","","","","","","","","","","","","","","","","","5","","","","56800000","","3008000","910000","","","","","","","","62.44","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","199904","","","","","","","","","","","","","","","【レインズ】","","",""
"100123984347","01","03","02","（株）財成リアルティ　東京駅前店","03-6262-3020","","","","00","","","","","東京都","墨田区","東向島１丁目","","パレステージ曳舟Ⅱ","","","","伊勢崎線","曳舟","5","","","","","","","","","","","","","","","","","","4","","","","49800000","","3048000","922000","","","","","","","","54.02","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124597986","01","03","02","ジェーユーハウジング（株）","090-8494-2657","","","","00","","","","","東京都","墨田区","江東橋５丁目","","サンクタス錦糸町クレフ","","","","総武中央線","錦糸町","10","","","","","","","","","","","","","","","","","","4","","","","59800000","","3242000","981000","","","","","","","","60.99","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","6100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200203","","","","","","","","","","","","","","","【レインズ】","","",""
"100122090743","01","03","02","三井不動産リアルティ（株）三井のリハウス錦糸町センター","03-3633-3131","","","","00","","","","","東京都","墨田区","千歳１丁目","","アクシルコート新大橋","","","","大江戸線","森下","8","","","","","","","","","","","","","","","","","","4","","","","49800000","","3426000","1037000","","","","","","","","48.06","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","29730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","199009","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594789","01","03","02","ジェイズアセット（株）","03-6754-1184","","","","00","","","","","東京都","墨田区","向島２丁目","","隅田川パークホームズ","","","","半蔵門線","押上","10","","","","","","","","","","","","","","","","","","1","","","","64800000","","3123000","945000","","","","","","","","68.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","200105","","","","","","","","","","","","","","","【レインズ】","","",""
"100124483526","01","03","02","（株）リナート","08043418119","","","","00","","","","","東京都","墨田区","緑１丁目","","ヴァンクール両国","","","","大江戸線","両国","7","","","","","","","","","","","","","","","","","","1","","","","51800000","","2966000","898000","","","","","","","","57.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","199902","","","","","","","","","","","","","","","【レインズ】","","",""
