"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124163730","01","03","02","（株）マルトモ商事","03-3738-6266","","","","00","","","","","東京都","大田区","蒲田５丁目","","蒲田公園マンション","","","","京浜東北線","蒲田","4","","","","","","","","","","","","","","","","","","4","","","","41600000","","2501000","757000","","","","","","","","55.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197306","","","","","","","","","","","","","","","【レインズ】","","",""
"100124605223","01","03","02","（株）ホームネット","070-3122-0683","","","","00","","","","","東京都","大田区","大森北３丁目","","世紀コーポ平和島","","","","京浜急行線","平和島","5","","","","","","","","","","","","","","","","","","1","","","","29990000","","1687000","511000","","","","","","","","58.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197508","","","","","","","","","","","","","","","【レインズ】","","",""
"100123684864","01","03","02","（株）ＳＵＮＲＩＳＥ","08010940903","","","","00","","","","","東京都","大田区","南六郷３丁目","","エンゼルハイム南六郷第二","","","","京浜急行線","六郷土手","10","","","","","","","","","","","","","","","","","","1","","","","39900000","","2142000","648000","","","","","","","","61.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198609","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603991","01","03","02","（株）西家","03-6450-2408","","","","00","","","","","東京都","大田区","南馬込４丁目","","南馬込マンション","","","","都営浅草線","西馬込","8","","","","","","","","","","","","","","","","","","1","","","","39800000","","2096000","634000","","","","","","","","62.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197104","","","","","","","","","","","","","","","【レインズ】","","",""
"100124486102","01","03","02","（株）インテリックス　本店","03-5766-3939","","","","00","","","","","東京都","大田区","東雪谷２丁目","","マンション雪ヶ谷","","","","池上線","石川台","3","","","","","","","","","","","","","","","","","","1","","","","25980000","","2156000","652000","","","","","","","","39.85","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","8050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197105","","","","","","","","","","","","","","","【レインズ】","","",""
"100124460428","01","03","02","北斗ソリューションズ（株）","0363009933","","","","00","","","","","東京都","大田区","蒲田５丁目","","エクセルダイア蒲田Ⅲ","","","","京浜東北線","蒲田","4","","","","","","","","","","","","","","","","","","1","","","","32800000","","2859000","865000","","","","","","","","37.93","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","200012","","","","","","","","","","","","","","","【レインズ】","","",""
"100124602708","01","03","02","（株）日本エステージ","03-3781-5121","","","","00","","","","","東京都","大田区","上池台１丁目","","ライオンズマンション上池台","","","","池上線","長原","3","","","","","","","","","","","","","","","","","","5","","","","35800000","","2891000","875000","","","","","","","","40.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198511","","","","","","","","","","","","","","","【レインズ】","","",""
"100124602521","01","03","02","（株）ブラス","090-2672-1537","","","","00","","","","","東京都","大田区","羽田６丁目","","グランドーム羽田","","","","京急空港線","穴守稲荷","6","","","","","","","","","","","","","","","","","","1","","","","29850000","","1955000","592000","","","","","","","","50.50","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199411","","","","","","","","","","","","","","","【レインズ】","","",""
"100124170005","01","03","02","（株）サンケイ不動産","07066306201","","","","00","","","","","東京都","大田区","山王１丁目","","メゾン・ド・山王","","","","京浜東北線","大森","5","","","","","","","","","","","","","","","","","","4","","","","38990000","","2410000","729000","","","","","","","","53.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197002","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601564","01","03","02","（株）ゼウス・リアル","03-5720-5555","","","","00","","","","","東京都","大田区","西六郷３丁目","","西六郷ダイヤモンドマンション","","","","京浜急行線","六郷土手","12","","","","","","","","","","","","","","","","","","1","","","","28800000","","2213000","670000","","","","","","","","43.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198311","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601559","01","03","02","（株）ゼウス・リアル","03-5720-5555","","","","00","","","","","東京都","大田区","上池台５丁目","","スターハイツ上池台","","","","都営浅草線","西馬込","11","","","","","","","","","","","","","","","","","","1","","","","31800000","","2280000","690000","","","","","","","","46.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198410","","","","","","","","","","","","","","","【レインズ】","","",""
"100122812796","01","03","02","（株）イーハウス","03-5656-6554","","","","00","","","","","東京都","大田区","多摩川１丁目","","ＮＩＣハイム東矢口第２","","","","東急多摩川","武蔵新田","7","","","","","","","","","","","","","","","","","","4","","","","9800000","","1017000","308000","","","","","","","","31.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","10550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197903","","","","","","","","","","","","","","","【レインズ】","","",""
"100121762760","01","03","02","ハイライフホーム（株）","03-6453-8136","","","","00","","","","","東京都","大田区","西蒲田７丁目","","豊栄コート蒲田","","","","京浜東北線","蒲田","3","","","","","","","","","","","","","","","","","","5","","","","22000000","","1881000","569000","","","","","","","","38.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","3140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","197903","","","","","","","","","","","","","","","【レインズ】","","",""
"100122949964","01","03","02","野村不動産ソリューションズ（株）　蒲田センター","03-3738-7801","","","","00","","","","","東京都","大田区","西蒲田７丁目","","豊栄コート蒲田","","","","京浜東北線","蒲田","4","","","","","","","","","","","","","","","","","","5","","","","22000000","","1881000","569000","","","","","","","","38.67","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","7800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","197903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594500","01","03","02","（株）ランドネット","03-3986-3977","","","","00","","","","","東京都","大田区","南馬込５丁目","","ニュートーア馬込","","","","都営浅草線","西馬込","1","","","","","","","","","","","","","","","","","","1","","","","23800000","","1814000","549000","","","","","","","","43.38","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","10510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197211","","","","","","","","","","","","","","","【レインズ】","","",""
"100124593768","01","03","02","（株）ゲンコーポレーション","03-3726-4726","","","","00","","","","","東京都","大田区","北馬込１丁目","","パールマンション馬込","","","","大井町線","荏原町","8","","","","","","","","","","","","","","","","","","1","","","","25800000","","2112000","639000","","","","","","","","40.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124593724","01","03","02","（株）エルセレクト","03-6450-5040","","","","00","","","","","東京都","大田区","大森北３丁目","","シャンボール第二大森","","","","京浜東北線","大森","10","","","","","","","","","","","","","","","","","","1","","","","25800000","","2327000","704000","","","","","","","","36.66","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","9740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197305","","","","","","","","","","","","","","","【レインズ】","","",""
"100123543277","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","大田区","大森北１丁目","","大森オリンピックマンション","","","","京浜東北線","大森","5","","","","","","","","","","","","","","","","","","1","","","","21800000","","2222000","673000","","","","","","","","32.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198008","","","","","","","","","","","","","","","【レインズ】","","",""
"100121635869","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","大田区","西六郷３丁目","","西六郷ダイヤモンドマンション","","","","京浜急行線","六郷土手","12","","","","","","","","","","","","","","","","","","1","","","","24800000","","2025000","613000","","","","","","","","40.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198311","","","","","","","","","","","","","","","【レインズ】","","",""
"100124467587","01","03","02","（株）トラストプロパティ","03-3527-1667","","","","00","","","","","東京都","大田区","下丸子２丁目","","下丸子ハイコーポ","","","","東急多摩川","武蔵新田","8","","","","","","","","","","","","","","","","","","1","","","","23800000","","1664000","504000","","","","","","","","47.30","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197208","","","","","","","","","","","","","","","【レインズ】","","",""
"100122607842","01","03","02","ＳＲＥホールディングス（株）　銀座オフィス","03-6274-6551","","","","00","","","","","東京都","大田区","田園調布本町","","グランイーグル田園調布桜坂","","","","東急多摩川","沼部","1","","","","","","","","","","","","","","","","","","4","","","","36800000","","2607000","789000","","","","","","","","46.68","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200104","","","","","","","","","","","","","","","【レインズ】","","",""
"100124524665","01","03","02","（株）スプレンドキャピタル","03-5942-7812","","","","00","","","","","東京都","大田区","田園調布２丁目","","パアムハウス","","","","東横線","田園調布","6","","","","","","","","","","","","","","","","","","1","","","","26800000","","1473000","446000","","","","","","","","60.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","196912","","","","","","","","","","","","","","","【レインズ】","","",""
"100122781670","01","03","02","オークラヤ住宅（株）　五反田営業所","03-3495-6811","","","","00","","","","","東京都","大田区","南馬込１丁目","","ネオコーポ南馬込","","","","都営浅草線","馬込","5","","","","","","","","","","","","","","","","","","1","","","","41900000","","2249000","681000","","","","","","","","61.60","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","13300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197806","","","","","","","","","","","","","","","【レインズ】","","",""
