"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124037365","01","03","02","（株）グランイーグル","09085915681","","","","00","","","","","東京都","大田区","石川町２丁目","","ジェイパーク石川台","","","","池上線","石川台","6","","","","","","","","","","","","","","","","","","4","","","","64800000","","2999000","908000","","","","","","","","71.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200310","","","","","","","","","","","","","","","【レインズ】","","",""
"100124604681","01","03","02","（株）大京穴吹不動産　アセット事業部","050-3628-8514","","","","00","","","","","東京都","大田区","下丸子２丁目","","ダイアパレス下丸子","","","","東急多摩川","武蔵新田","10","","","","","","","","","","","","","","","","","","1","","","","51980000","","2096000","634000","","","","","","","","82.00","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","20500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198003","","","","","","","","","","","","","","","【レインズ】","","",""
"100124604512","01","03","02","（株）ケーズリード","03-6459-2775","","","","00","","","","","東京都","大田区","南六郷１丁目","","エンゼルハイム南六郷第５","","","","京浜急行線","雑色","11","","","","","","","","","","","","","","","","","","1","","","","54800000","","2561000","775000","","","","","","","","70.76","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","5660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603397","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","大田区","東矢口２丁目","","ライオンズマンション多摩川","","","","東急多摩川","矢口渡","4","","","","","","","","","","","","","","","","","","1","","","","42800000","","2674000","809000","","","","","","","","52.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198301","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603372","01","03","02","（株）パックシステム","080-9087-6983","","","","00","","","","","東京都","大田区","千鳥３丁目","","ディートリアアイリットスクエア","","","","池上線","千鳥町","2","","","","","","","","","","","","","","","","","","1","","","","89890000","","3383000","1024000","","","","","","","","87.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","200105","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603330","01","03","02","（株）パックシステム","080-3707-7942","","","","00","","","","","東京都","大田区","東六郷２丁目","","コープ野村東六郷","","","","京浜急行線","雑色","8","","","","","","","","","","","","","","","","","","1","","","","43800000","","2099000","635000","","","","","","","","69.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198206","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603315","01","03","02","（株）パックシステム","080-3707-7942","","","","00","","","","","東京都","大田区","東六郷２丁目","","エンゼルハイム東六郷第２","","","","京浜急行線","雑色","6","","","","","","","","","","","","","","","","","","1","","","","45890000","","2463000","745000","","","","","","","","61.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198610","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603300","01","03","02","（株）パックシステム","080-3707-7942","","","","00","","","","","東京都","大田区","西蒲田６丁目","","マイキャッスル蒲田ＷＥＳＴ","","","","池上線","蓮沼","5","","","","","","","","","","","","","","","","","","1","","","","64890000","","3145000","952000","","","","","","","","68.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603298","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","大田区","鵜の木２丁目","","ガーデンホーム鵜の木","","","","東急多摩川","鵜の木","4","","","","","","","","","","","","","","","","","","1","","","","56900000","","3286000","994000","","","","","","","","57.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","200207","","","","","","","","","","","","","","","【レインズ】","","",""
"100123386893","01","03","02","マジュニア（株）　広尾不動産","090-6042-9895","","","","00","","","","","東京都","大田区","大森西３丁目","","エンゼルハイム大森第８　手","","","","京浜急行線","大森町","9","","","","","","","","","","","","","","","","","","5","","","","59800000","","2622000","793000","","","","","","","","75.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199609","","","","","","","","","","","","","","","【レインズ】","","",""
