"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123595340","01","03","02","住友不動産販売（株）　小石川営業センター","03-5981-5671","","","","00","","","","","東京都","文京区","千石２丁目","","小石川マンション","","","","都営三田線","千石","9","","","","","","","","","","","","","","","","","","4","","","","13800000","","1453000","440000","","","","","","","","31.40","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","196304","","","","","","","","","","","","","","","【レインズ】","","",""
"100124090539","01","03","02","（株）ＹＡＫ","03-5817-5817","","","","00","","","","","東京都","文京区","大塚４丁目","","ニューハイム文京","","","","丸ノ内線","新大塚","8","","","","","","","","","","","","","","","","","","3","","","","15000000","","1522000","461000","","","","","","","","32.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197410","","","","","","","","","","","","","","","【レインズ】","","",""
"100124297947","01","03","02","野村不動産ソリューションズ（株）　荻窪センター","03-5347-2801","","","","00","","","","","東京都","文京区","大塚５丁目","","ハセガワハイツ","","","","有楽町線","護国寺","5","","","","","","","","","","","","","","","","","","4","","","","15800000","","1692000","512000","","","","","","","","30.87","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","6070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","196502","","","","","","","","","","","","","","","【レインズ】","","",""
"100122043653","01","03","02","（株）ファミリー不動産","03-5849-5730","","","","00","","","","","東京都","文京区","千石２丁目","","シャンボール文京","","","","都営三田線","千石","9","","","","","","","","","","","","","","","","","","4","","","","16000000","","1374000","416000","","","","","","","","38.50","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","11200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124499203","01","03","02","上野ダイフジ不動産（株）","03-3843-9581","","","","00","","","","","東京都","文京区","小石川３丁目","","文京コヤマハイツ","","","","都営三田線","春日","8","","","","","","","","","","","","","","","","","","4","","","","16500000","","1509000","457000","","","","","","","","36.17","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","15660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197102","","","","","","","","","","","","","","","【レインズ】","","",""
"100124352712","01","03","02","アイベックスホーム（株）","03-5927-9925","","","","00","","","","","東京都","文京区","目白台１丁目","","目白台ハイツ","","","","副都心線","雑司が谷","10","","","","","","","","","","","","","","","","","","1","","","","16800000","","1804000","546000","","","","","","","","30.80","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","11800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197903","","","","","","","","","","","","","","","【レインズ】","","",""
"100122831574","01","03","02","興和管理（株）","03-5574-7905","","","","00","","","","","東京都","文京区","本駒込４丁目","","日興パレス文京","","","","南北線","本駒込","11","","","","","","","","","","","","","","","","","","4","","","","18800000","","1436000","435000","","","","","","","","43.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","12630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197902","","","","","","","","","","","","","","","【レインズ】","","",""
"100124465594","01","03","02","東急リバブル（株）　茗荷谷センター","03-6892-4109","","","","00","","","","","東京都","文京区","千石２丁目","","ハイメゾン千石","","","","都営三田線","千石","7","","","","","","","","","","","","","","","","","","5","","","","18900000","","1985000","601000","","","","","","","","31.49","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197812","","","","","","","","","","","","","","","【レインズ】","","",""
"100124455112","01","03","02","野村不動産ソリューションズ（株）　茗荷谷センター","03-5981-5445","","","","00","","","","","東京都","文京区","千石２丁目","","ハイメゾン千石","","","","都営三田線","千石","7","","","","","","","","","","","","","","","","","","5","","","","18900000","","1985000","601000","","","","","","","","31.49","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197812","","","","","","","","","","","","","","","【レインズ】","","",""
"100124388531","01","03","02","住友不動産販売（株）　小石川営業センター","03-5981-5671","","","","00","","","","","東京都","文京区","千石２丁目","","ハイメゾン千石","","","","都営三田線","千石","8","","","","","","","","","","","","","","","","","","5","","","","18900000","","1985000","601000","","","","","","","","31.49","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197812","","","","","","","","","","","","","","","【レインズ】","","",""
