"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124583547","01","03","02","（株）マスターズ・コンサルティング","03-6804-2872","","","","00","","","","","東京都","文京区","千石１丁目","","ザ・パークハウス文京千石一丁目","","","","都営三田線","千石","3","","","","","","","","","","","","","","","","","","4","","","","60800000","","5108000","1546000","","","","","","","","39.35","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201908","","","","","","","","","","","","","","","【レインズ】","","",""
"100123544303","01","03","02","（株）西家","03-6450-2408","","","","00","","","","","東京都","文京区","小石川３丁目","","エルアルカサル小石川","","","","丸ノ内線","茗荷谷","13","","","","","","","","","","","","","","","","","","1","","","","60900000","","3593000","1087000","","","","","","","","56.04","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","14200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198208","","","","","","","","","","","","","","","【レインズ】","","",""
"100123725807","01","03","02","（株）住まいと保険と資産管理","0335152461","","","","00","","","","","東京都","文京区","白山１丁目","","グランドシティ白山　８階","","","","都営三田線","白山","1","","","","","","","","","","","","","","","","","","4","","","","61300000","","3506000","1061000","","","","","","","","57.81","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","18700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","199201","","","","","","","","","","","","","","","【レインズ】","","",""
"100124526895","01","03","02","東急リバブル（株）　文京春日センター","03-6772-5109","","","","00","","","","","東京都","文京区","白山１丁目","","エザンス白山","","","","都営三田線","白山","5","","","","","","","","","","","","","","","","","","4","","","","61800000","","3436000","1040000","","","","","","","","59.46","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","21186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198102","","","","","","","","","","","","","","","【レインズ】","","",""
"100124111977","01","03","02","三井不動産リアルティ（株）三井のリハウス上野センター","03-5812-1131","","","","00","","","","","東京都","文京区","根津２丁目","","ダイナシティ文京根津","","","","千代田線","根津","2","","","","","","","","","","","","","","","","","","3","","","","61800000","","4825000","1460000","","","","","","","","42.35","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","13810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","200410","","","","","","","","","","","","","","","【レインズ】","","",""
"100123317272","01","03","02","住友不動産販売（株）　小石川営業センター","03-5981-5671","","","","00","","","","","東京都","文京区","千駄木４丁目","","クリオ千駄木動坂","","","","山手線","田端","10","","","","","","","","","","","","","","","","","","5","","","","61800000","","3791000","1147000","","","","","","","","53.90","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100120434447","01","03","02","三井不動産リアルティ（株）三井のリハウス飯田橋センター","03-5229-1931","","","","00","","","","","東京都","文京区","千駄木４丁目","","クリオ千駄木動坂","","","","山手線","田端","10","","","","","","","","","","","","","","","","","","5","","","","61800000","","3791000","1147000","","","","","","","","53.90","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100123993015","01","03","02","（株）東京中央建物","080-4085-6616","","","","00","","","","","東京都","文京区","湯島３丁目","","グランリビオ　ザ・レジデンス","","","","千代田線","湯島","4","","","","","","","","","","","","","","","","","","4","","","","61800000","","5057000","1530000","","","","","","","","40.40","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","201803","","","","","","","","","","","","","","","【レインズ】","","",""
"100122920494","01","03","02","（株）ナミエ・エステート","03-5684-0122","","","","00","","","","","東京都","文京区","本郷３丁目","","メゾンルグラン本郷","","","","大江戸線","本郷三丁目","5","","","","","","","","","","","","","","","","","","4","","","","62000000","","2928000","886000","","","","","","","","70.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","23600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198004","","","","","","","","","","","","","","","【レインズ】","","",""
"100124359497","01","03","02","三井住友トラスト不動産（株）　吉祥寺センター","0422-20-2101","","","","00","","","","","東京都","文京区","本郷３丁目","","クラッシィハウス本郷コンフォルテ","","","","大江戸線","本郷三丁目","3","","","","","","","","","","","","","","","","","","4","","","","62000000","","4780000","1446000","","","","","","","","42.88","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","13650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","201103","","","","","","","","","","","","","","","【レインズ】","","",""
