"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123330361","01","03","02","住友不動産販売（株）　池袋営業センター","03-3986-9061","","","","00","","","","","東京都","新宿区","西早稲田１丁目","","アートハビテーション","","","","東西線","早稲田","9","","","","","","","","","","","","","","","","","","4","","","","10800000","","1090000","330000","","","","","","","","32.76","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","14100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197209","","","","","","","","","","","","","","","【レインズ】","","",""
"100122162903","01","03","02","（株）ランドヒルズ","03-6435-7779","","","","00","","","","","東京都","新宿区","西落合２丁目","","落合コーポ","","","","西武新宿線","新井薬師前","6","","","","","","","","","","","","","","","","","","4","","","","13000000","","1401000","424000","","","","","","","","30.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","196310","","","","","","","","","","","","","","","【レインズ】","","",""
"100124436808","01","03","02","（株）ケー・エイチリファイン","0429551155","","","","00","","","","","東京都","新宿区","新宿７丁目","","新宿コーポ２号館","","","","大江戸線","東新宿","4","","","","","","","","","","","","","","","","","","4","","","","13300000","","1466000","444000","","","","","","","","30.00","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","5950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","196401","","","","","","","","","","","","","","","【レインズ】","","",""
"300124094721","01","03","02","（株）ランドネット　大阪支店","06-6359-1124","","","","00","","","","","東京都","新宿区","中落合２丁目","","目白グローリーマンション　エレベーター有","","","","西武池袋線","椎名町","10","","","","","","","","","","","","","","","","","","1","","","","14900000","","1530000","463000","","","","","","","","32.21","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","196811","","","","","","","","","","","","","","","【レインズ】","","",""
"100124458587","01","03","02","（株）ランドネット","03-3986-7227","","","","00","","","","","東京都","新宿区","上落合１丁目","","ダイアパレス上落合","","","","西武新宿線","下落合","5","","","","","","","","","","","","","","","","","","4","","","","14900000","","1453000","440000","","","","","","","","33.90","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","6800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197907","","","","","","","","","","","","","","","【レインズ】","","",""
"100124323751","01","03","02","（株）山吹不動産","03-3268-0088","","","","00","","","","","東京都","新宿区","山吹町","","","","","","有楽町線","江戸川橋","3","","","","","","","","","","","","","","","","","","4","","","","14900000","","1147000","347000","","","","","","","","42.95","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","17900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","196910","","","","","","","","","","","","","","","【レインズ】","","",""
"100124409738","01","03","02","ＪＰライフ（株）","03-3512-0860","","","","00","","","","","東京都","新宿区","百人町１丁目","","新宿ナショナルコート","","","","総武中央線","大久保","3","","","","","","","","","","","","","","","","","","5","","","","16000000","","1636000","495000","","","","","","","","32.35","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","9885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197305","","","","","","","","","","","","","","","【レインズ】","","",""
"100124301848","01","03","02","三井住友トラスト不動産（株）　横浜第二センター","045-316-5315","","","","00","","","","","東京都","新宿区","北新宿４丁目","","ＶＩＶＡひまわり東中野","","","","総武中央線","東中野","5","","","","","","","","","","","","","","","","","","4","","","","16000000","","1539000","466000","","","","","","","","34.37","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","3500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198002","","","","","","","","","","","","","","","【レインズ】","","",""
"100124523676","01","03","02","オハナ不動産（株）","03-6205-5205","","","","00","","","","","東京都","新宿区","百人町１丁目","","新宿ナショナルコート　テ・ス・ウ・アリ・１．５パー","","","","総武中央線","大久保","3","","","","","","","","","","","","","","","","","","4","","","","16300000","","1666000","504000","","","","","","","","32.35","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","9885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197305","","","","","","","","","","","","","","","【レインズ】","","",""
"100123338658","01","03","02","（株）Ｌ・Ｔ・Ｃ","0358178201","","","","00","","","","","東京都","新宿区","河田町","","中古マンション河田町ローヤルマンション","","","","大江戸線","若松河田","1","","","","","","","","","","","","","","","","","","5","","","","16500000","","1632000","494000","","","","","","","","33.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197306","","","","","","","","","","","","","","","【レインズ】","","",""
