"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124350667","01","03","02","東急リバブル（株）　グランタクト市ヶ谷","03-6862-3109","","","","00","","","","","東京都","新宿区","神楽坂５丁目","","神楽坂アインスタワー","","","","大江戸線","牛込神楽坂","3","","","","","","","","","","","","","","","","","","5","","","","100159700","","3571000","1081000","","","","","","","","92.74","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","18370","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","200301","","","","","","","","","","","","","","","【レインズ】","","",""
"100124530176","01","03","02","三菱地所ハウスネット（株）　西新宿営業所","03-6276-7611","","","","00","","","","","東京都","新宿区","西新宿５丁目","","ザ・パークハウス西新宿タワー６０","","","","丸ノ内線","西新宿","9","","","","","","","","","","","","","","","","","","4","","","","100800000","","5158000","1561000","","","","","","","","64.61","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","19410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201808","","","","","","","","","","","","","","","【レインズ】","","",""
"100124585204","01","03","02","（株）ブレーメン","08096821133","","","","00","","","","","","新宿区市","谷左内町","","市谷台グランドマンション","","","","総武中央線","市ケ谷","5","","","","","","","","","","","","","","","","","","2","","","","101800000","","4001000","1211000","","","","","","","","84.13","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","38840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","196411","","","","","","","","","","","","","","","【レインズ】","","",""
"100124122108","01","03","02","住友林業ホームサービス（株）　城南支店","03-6451-4591","","","","00","","","","","東京都","新宿区","西新宿８丁目","","ライオンズシティ西新宿","","","","丸ノ内線","西新宿","5","","","","","","","","","","","","","","","","","","3","","","","102800000","","5001000","1513000","","","","","","","","67.96","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","199902","","","","","","","","","","","","","","","【レインズ】","","",""
"100124119348","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","新宿区","荒木町","","フリーディオ四谷三丁目","","","","丸ノ内線","四谷三丁目","5","","","","","","","","","","","","","","","","","","1","","","","103000000","","5497000","1663000","","","","","","","","61.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","199708","","","","","","","","","","","","","","","【レインズ】","","",""
"100124524922","01","03","02","グローバルベイス（株）","03-5467-5115","","","","00","","","","","東京都","新宿区","西早稲田１丁目","","西早稲田シティタワー","","","","東西線","早稲田","11","","","","","","","","","","","","","","","","","","1","","","","103800000","","4573000","1384000","","","","","","","","75.04","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","17500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","199903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124236320","01","03","02","（株）長谷工リアルエステート　阿佐ヶ谷店","03-5347-2909","","","","00","","","","","東京都","新宿区","南元町","","プレミアスイート外苑の杜","","","","総武中央線","信濃町","6","","","","","","","","","","","","","","","","","","1","","","","103800000","","5861000","1773000","","","","","","","","58.55","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","14232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","201502","","","","","","","","","","","","","","","【レインズ】","","",""
"100124568853","01","03","02","三菱地所ハウスネット（株）　番町営業所","03-6272-9591","","","","00","","","","","東京都","新宿区","山吹町","","ザ・パークハウス山吹神楽坂","","","","有楽町線","江戸川橋","4","","","","","","","","","","","","","","","","","","5","","","","104800000","","5746000","1738000","","","","","","","","60.30","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","15320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","201710","","","","","","","","","","","","","","","【レインズ】","","",""
"100120895261","01","03","02","野村不動産ソリューションズ（株）　飯田橋センター","03-5226-0281","","","","00","","","","","東京都","新宿区","岩戸町","","サンクタス神楽坂","","","","大江戸線","牛込神楽坂","1","","","","","","","","","","","","","","","","","","5","","","","104800000","","4308000","1303000","","","","","","","","80.43","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","22100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201102","","","","","","","","","","","","","","","【レインズ】","","",""
"100122886807","01","03","02","住友不動産販売（株）　新宿マンションプラザ","03-5909-7082","","","","00","","","","","東京都","新宿区","西五軒町","","プレミスト神楽坂","","","","東西線","神楽坂","5","","","","","","","","","","","","","","","","","","3","","","","104800000","","5064000","1532000","","","","","","","","68.42","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","16420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201201","","","","","","","","","","","","","","","【レインズ】","","",""
"100124066637","01","03","02","三井住友トラスト不動産（株）　立川センター","042-528-8151","","","","00","","","","","東京都","新宿区","新宿７丁目","","新宿アインスタワー","","","","副都心線","東新宿","1","","","","","","","","","","","","","","","","","","5","","","","104800000","","4428000","1340000","","","","","","","","78.24","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","21750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","200402","","","","","","","","","","","","","","","【レインズ】","","",""
"100123979290","01","03","02","大成有楽不動産販売（株）　恵比寿センター","03-5768-6711","","","","00","","","","","東京都","新宿区","西五軒町","","プレミスト神楽坂","","","","東西線","神楽坂","6","","","","","","","","","","","","","","","","","","4","","","","104800000","","4370000","1322000","","","","","","","","79.28","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","19030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","201201","","","","","","","","","","","","","","","【レインズ】","","",""
"100120880448","01","03","02","三井不動産リアルティ（株）三井のリハウス飯田橋センター","03-5229-1931","","","","00","","","","","東京都","新宿区","岩戸町","","サンクタス神楽坂","","","","大江戸線","牛込神楽坂","1","","","","","","","","","","","","","","","","","","5","","","","104800000","","4308000","1303000","","","","","","","","80.43","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","22100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201102","","","","","","","","","","","","","","","【レインズ】","","",""
