"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100122452832","01","03","02","（株）万盛","03-5604-9788","","","","00","","","","","東京都","杉並区","梅里１丁目","","新高円寺パールマンション　手あり","","","","丸ノ内線","新高円寺","2","","","","","","","","","","","","","","","","","","5","","","","25200000","","1767000","535000","","","","","","","","47.15","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","10500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","197306","","","","","","","","","","","","","","","【レインズ】","","",""
"100122488769","01","03","02","ハミルトン（株）","03-5524-2992","","","","00","","","","","東京都","杉並区","桃井２丁目","","ニュー荻窪マンション","","","","総武中央線","荻窪","16","","","","","","","","","","","","","","","","","","5","","","","11400000","","1164000","352000","","","","","","","","32.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","8710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197109","","","","","","","","","","","","","","","【レインズ】","","",""
"100124015243","01","03","02","（株）ランドネット","03-3986-7227","","","","00","","","","","東京都","杉並区","下高井戸２丁目","","プラザローヤル５","","","","京王線","桜上水","3","","","","","","","","","","","","","","","","","","1","","","","9800000","","938000","284000","","","","","","","","34.56","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","8100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","197403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124238884","01","03","02","ＪＴＭホールディングス（株）　東京営業所","03-5358-9767","","","","00","","","","","東京都","杉並区","下高井戸２丁目","","プラザローヤル５","","","","京王線","桜上水","5","","","","","","","","","","","","","","","","","","5","","","","21800000","","1723000","522000","","","","","","","","41.84","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","197403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124286660","01","03","02","三菱地所ハウスネット（株）　荻窪営業所","03-6276-9460","","","","00","","","","","東京都","杉並区","堀ノ内２丁目","","パークハウス杉並堀ノ内","","","","丸ノ内方南","方南町","12","","","","","","","","","","","","","","","","","","4","","","","34900000","","2217000","671000","","","","","","","","52.06","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","18984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124403399","01","03","02","（株）ウダツ","050-3188-9563","","","","00","","","","","東京都","杉並区","堀ノ内３丁目","","星和東高円寺ハイツ","","","","丸ノ内線","東高円寺","10","","","","","","","","","","","","","","","","","","1","","","","37900000","","2505000","758000","","","","","","","","50.02","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197906","","","","","","","","","","","","","","","【レインズ】","","",""
"100124533833","01","03","02","（株）タウン住宅販売　新宿店","03-3340-0902","","","","00","","","","","東京都","杉並区","下井草２丁目","","下井草第２サンハイツ","","","","西武新宿線","下井草","8","","","","","","","","","","","","","","","","","","1","","","","20900000","","1651000","500000","","","","","","","","41.85","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","6000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197302","","","","","","","","","","","","","","","【レインズ】","","",""
"100124585183","01","03","02","（株）アクロス・シティ","080-3258-7880","","","","00","","","","","東京都","杉並区","和田１丁目","","グリーンキャピタル東高円寺","","","","丸ノ内線","東高円寺","6","","","","","","","","","","","","","","","","","","1","","","","29980000","","2411000","730000","","","","","","","","41.11","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","12200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198209","","","","","","","","","","","","","","","【レインズ】","","",""
"100124592988","01","03","02","（株）レフォルマ","08065553741","","","","00","","","","","東京都","杉並区","桃井４丁目","","スカイコート西荻窪第２","","","","中央線","西荻窪","12","","","","","","","","","","","","","","","","","","1","","","","31900000","","2828000","856000","","","","","","","","37.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199702","","","","","","","","","","","","","","","【レインズ】","","",""
"100124593376","01","03","02","浅見商事不動産","0422-47-7605","","","","00","","","","","東京都","杉並区","今川３丁目","","コンドミニアム上井草","","","","中央線","西荻窪","","","10","","","1","","","","","","","","","","","","","5","","","","27800000","","1639000","496000","","","","","","","","56.09","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","8750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197403","","","","","","","","","","","","","","","【レインズ】","","",""
