"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123931942","01","03","02","（株）未来都市開発","090-7211-1100","","","","00","","","","","東京都","杉並区","高井戸東１丁目","","藤和高井戸東ホームズ","","","","井の頭線","高井戸","9","","","","","","","","","","","","","","","","","","1","","","","76990000","","3174000","960000","","","","","","","","80.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199803","","","","","","","","","","","","","","","【レインズ】","","",""
"100123883537","01","03","02","ＳＲＥホールディングス（株）　南青山オフィス","03-5843-0895","","","","00","","","","","東京都","杉並区","堀ノ内２丁目","","レジェンド杉並ガーデン","","","","丸ノ内方南","方南町","11","","","","","","","","","","","","","","","","","","4","","","","41000000","","2498000","756000","","","","","","","","54.26","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","10900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198807","","","","","","","","","","","","","","","【レインズ】","","",""
"100123948364","01","03","02","リストインターナショナルリアルティ（株）　町田支店","042-707-6401","","","","00","","","","","東京都","杉並区","高円寺南１丁目","","プリムローズ東高円寺","","","","丸ノ内線","東高円寺","3","","","","","","","","","","","","","","","","","","4","","","","44800000","","3555000","1076000","","","","","","","","41.66","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200309","","","","","","","","","","","","","","","【レインズ】","","",""
"100123012967","01","03","02","（株）オブライエン","03-5937-0841","","","","00","","","","","東京都","杉並区","和田３丁目","","グローベル　ザ・スクエア東高円寺","","","","丸ノ内線","東高円寺","4","","","","","","","","","","","","","","","","","","5","","","","57800000","","4218000","1276000","","","","","","","","45.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","201403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124065443","01","03","02","（株）不動産流通システム","080-7129-5698","","","","00","","","","","東京都","杉並区","西荻北３丁目","","ロワール西荻北","","","","中央線","西荻窪","3","","","","","","","","","","","","","","","","","","4","","","","53800000","","3309000","1001000","","","","","","","","53.76","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","16510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201204","","","","","","","","","","","","","","","【レインズ】","","",""
"100121643955","01","03","02","一信住販（株）","03-6803-8166","","","","00","","","","","東京都","杉並区","今川２丁目","","ライオンズグローベル杉並今川レジデンシア","","","","西武新宿線","井荻","14","","","","","","","","","","","","","","","","","","1","","","","44980000","","2269000","687000","","","","","","","","65.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200109","","","","","","","","","","","","","","","【レインズ】","","",""
"100123808361","01","03","02","三井不動産リアルティ（株）三井のリハウス高井戸センター","03-3247-3131","","","","00","","","","","東京都","杉並区","宮前５丁目","","パークホームズ久我山","","","","井の頭線","久我山","11","","","","","","","","","","","","","","","","","","4","","","","68900000","","3017000","913000","","","","","","","","75.50","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","18800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200309","","","","","","","","","","","","","","","【レインズ】","","",""
"100123734178","01","03","02","三井不動産リアルティ（株）三井のリハウス永福町センター","03-3322-3131","","","","00","","","","","東京都","杉並区","浜田山４丁目","","ライオンズ浜田山セントマークス","","","","井の頭線","浜田山","7","","","","","","","","","","","","","","","","","","4","","","","73000000","","3772000","1141000","","","","","","","","63.98","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","1","","","","","16450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200502","","","","","","","","","","","","","","","【レインズ】","","",""
"100123933755","01","03","02","三井不動産リアルティ（株）三井のリハウス高井戸センター","03-3247-3131","","","","00","","","","","東京都","杉並区","高井戸西２丁目","","パークホームズ高井戸グランファステール","","","","井の頭線","高井戸","4","","","","","","","","","","","","","","","","","","5","","","","93800000","","3030000","917000","","","","","","","","102.36","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","15660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200312","","","","","","","","","","","","","","","【レインズ】","","",""
"100124120852","01","03","02","三菱地所ハウスネット（株）　渋谷営業所","03-3400-2300","","","","00","","","","","東京都","杉並区","高井戸東４丁目","","藤和シティホームズ高井戸東","","","","井の頭線","高井戸","10","","","","","","","","","","","","","","","","","","4","","","","74800000","","3369000","1019000","","","","","","","","73.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","199606","","","","","","","","","","","","","","","【レインズ】","","",""
