"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100122854276","01","03","02","東急リバブル（株）　成増センター","03-6858-4109","","","","00","","","","","東京都","板橋区","赤塚５丁目","","サングリーン赤塚の郷","","","","都営三田線","西高島平","16","","","","","","","","","","","","","","","","","","4","","","","5000000","","541000","164000","","","","","","","","30.59","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","199109","","","","","","","","","","","","","","","【レインズ】","","",""
"100121515468","01","03","02","アリーナコーポレーション（株）","0354366780","","","","00","","","","","東京都","板橋区","高島平１丁目","","ベルハイツ","","","","都営三田線","西台","7","","","","","","","","","","","","","","","","","","4","","","","8400000","","858000","260000","","","","","","","","32.40","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124577422","01","03","02","Ｒｅｂｏｎｄｓ（株）","08036664122","","","","00","","","","","東京都","板橋区","大谷口北町","","サツキコーポ","","","","東武東上線","中板橋","8","","","","","","","","","","","","","","","","","","1","","","","8980000","","958000","290000","","","","","","","","30.99","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","15800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197908","","","","","","","","","","","","","","","【レインズ】","","",""
"100119304016","01","03","02","（株）ＭＩＪ","03-5333-0703","","","","00","","","","","東京都","板橋区","南常盤台２丁目","","ときわ台ローヤルコーポ","","","","東武東上線","ときわ台","5","","","","","","","","","","","","","","","","","","1","","","","9100000","","842000","255000","","","","","","","","35.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197112","","","","","","","","","","","","","","","【レインズ】","","",""
"100123094102","01","03","02","（株）ランドネット","03-3986-3967","","","","00","","","","","東京都","板橋区","大谷口北町","","三田常盤台第一コーポ","","","","東武東上線","中板橋","10","","","","","","","","","","","","","","","","","","4","","","","9800000","","909000","275000","","","","","","","","35.66","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","196906","","","","","","","","","","","","","","","【レインズ】","","",""
"100122920977","01","03","02","（株）ＭＩＪ","03-5333-0703","","","","00","","","","","東京都","板橋区","南常盤台２丁目","","ときわ台ローヤルコーポ","","","","東武東上線","ときわ台","5","","","","","","","","","","","","","","","","","","1","","","","9800000","","906000","275000","","","","","","","","35.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197112","","","","","","","","","","","","","","","【レインズ】","","",""
"100124094908","01","03","02","ハウスウェル㈱　戸田駅店","08070408099","","","","00","","","","","東京都","板橋区","高島平７丁目","","高島平第２ウィーンハイツ","","","","都営三田線","新高島平","4","","","","","","","","","","","","","","","","","","4","","","","9800000","","981000","297000","","","","","","","","33.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197702","","","","","","","","","","","","","","","【レインズ】","","",""
"100123678083","01","03","02","（株）ＡＲＣＩＯＮ","03-5956-6721","","","","00","","","","","東京都","板橋区","小茂根３丁目","","三田小茂根コーポ","","","","有楽町線","小竹向原","12","","","","","","","","","","","","","","","","","","5","","","","10500000","","1053000","319000","","","","","","","","32.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197708","","","","","","","","","","","","","","","【レインズ】","","",""
"100119973120","01","03","02","東急リバブル（株）　成増センター","03-6858-4109","","","","00","","","","","東京都","板橋区","向原３丁目","","三田向原コーポ","","","","副都心線","小竹向原","6","","","","","","","","","","","","","","","","","","4","","","","10500000","","1059000","321000","","","","","","","","32.79","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","9080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197303","","","","","","","","","","","","","","","【レインズ】","","",""
"100119976146","01","03","02","（株）長太郎不動産","03-3979-0002","","","","00","","","","","東京都","板橋区","新河岸３丁目","","新高島平エコーハイツ","","","","都営三田線","新高島平","11","","","","","","","","","","","","","","","","","","4","","","","10500000","","715000","217000","","","","","","","","48.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198010","","","","","","","","","","","","","","","【レインズ】","","",""
