"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124399029","01","03","02","三井住友トラスト不動産（株）　池袋センター","03-3590-5411","","","","00","","","","","東京都","板橋区","小茂根１丁目","","グランシティユーロパレス小竹向原","","","","有楽町線","小竹向原","4","","","","","","","","","","","","","","","","","","4","","","","35200000","","2874000","870000","","","","","","","","40.50","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","13160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200601","","","","","","","","","","","","","","","【レインズ】","","",""
"100122854057","01","03","02","（株）スマイルエコ","03-6421-3555","","","","00","","","","","東京都","板橋区","向原１丁目","","コンド向原","","","","副都心線","千川","6","","","","","","","","","","","","","","","","","","1","","","","35800000","","2001000","606000","","","","","","","","59.15","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","10940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198112","","","","","","","","","","","","","","","【レインズ】","","",""
"100124579841","01","03","02","ミライアス（株）","070-1272-4271","","","","00","","","","","東京都","板橋区","志村２丁目","","朝日プラザ志村坂上","","","","都営三田線","志村坂上","6","","","","","","","","","","","","","","","","","","1","","","","35800000","","1893000","573000","","","","","","","","62.54","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","16380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","198603","","","","","","","","","","","","","","","【レインズ】","","",""
"100123806077","01","03","02","ＳＲＥホールディングス（株）　南青山オフィス","03-6274-6556","","","","00","","","","","東京都","板橋区","赤塚１丁目","","レーベンハイム下赤塚","","","","東武東上線","下赤塚","10","","","","","","","","","","","","","","","","","","4","","","","35800000","","2015000","610000","","","","","","","","58.76","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","15500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200005","","","","","","","","","","","","","","","【レインズ】","","",""
"100124518884","01","03","02","三井不動産リアルティ（株）三井のリハウス志村坂上センター","03-5916-3155","","","","00","","","","","東京都","板橋区","前野町４丁目","","レーベンハイム常盤台　五番館","","","","都営三田線","志村坂上","13","","","","","","","","","","","","","","","","","","4","","","","35800000","","1902000","576000","","","","","","","","62.24","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","13700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199705","","","","","","","","","","","","","","","【レインズ】","","",""
"100124547154","01","03","02","（株）ミッキーハウス","03-5943-3777","","","","00","","","","","東京都","板橋区","本町","","キャニオンマンション板橋本町","","","","都営三田線","板橋本町","4","","","","","","","","","","","","","","","","","","3","","","","35800000","","1757000","532000","","","","","","","","67.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198801","","","","","","","","","","","","","","","【レインズ】","","",""
"100124546760","01","03","02","（株）らぶぇいと","03-6914-8907","","","","00","","","","","東京都","板橋区","東山町","","セザールリバーサイドときわ台","","","","東武東上線","ときわ台","13","","","","","","","","","","","","","","","","","","4","","","","35800000","","1978000","599000","","","","","","","","59.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","200206","","","","","","","","","","","","","","","【レインズ】","","",""
"100121382063","01","03","02","（株）リブレクト","03-5926-7528","","","","00","","","","","東京都","板橋区","舟渡１丁目","","ライオンズガーデン浮間公園","","","","埼京線","浮間舟渡","4","","","","","","","","","","","","","","","","","","3","","","","35800000","","1844000","558000","","","","","","","","64.19","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","13800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","199802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124391191","01","03","02","（株）朝日・マンション住替センター","080-5873-0566","","","","00","","","","","東京都","板橋区","小豆沢２丁目","","クレールあづさわ","","","","都営三田線","志村坂上","6","","","","","","","","","","","","","","","","","","1","","","","35800000","","1993000","603000","","","","","","","","59.40","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","6000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197812","","","","","","","","","","","","","","","【レインズ】","","",""
"100124011954","01","03","02","（株）ニューバース","08050937787","","","","00","","","","","東京都","板橋区","志村１丁目","","メイツ志村坂上","","","","都営三田線","志村坂上","2","","","","","","","","","","","","","","","","","","1","","","","35800000","","2714000","821000","","","","","","","","43.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199211","","","","","","","","","","","","","","","【レインズ】","","",""
