"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124390843","01","03","02","サークルプレイス不動産（株）","090-8022-2817","","","","00","","","","","東京都","江戸川区","平井５丁目","","コスモ平井","","","","総武中央線","平井","7","","","","","","","","","","","","","","","","","","4","","","","36800000","","1400000","424000","","","","","","","","86.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198709","","","","","","","","","","","","","","","【レインズ】","","",""
"100123750187","01","03","02","（有）ダイオー","03-5693-8621","","","","00","","","","","東京都","江戸川区","南小岩８丁目","","第三大森ビル","","","","総武中央線","小岩","4","","","","","","","","","","","","","","","","","","5","","","","16000000","","1652000","500000","","","","","","","","32.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197605","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603338","01","03","02","（株）イエローキャピタルオーケストラ","090-7017-3002","","","","00","","","","","東京都","江戸川区","東小松川４丁目","","フローラ小松川　家　具　付","","","","都営新宿線","船堀","6","","","","","","","","","","","","","","","","","","1","","","","39800000","","1741000","527000","","","","","","","","75.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197406","","","","","","","","","","","","","","","【レインズ】","","",""
"100124261983","01","03","02","第二産業（株）","03-6912-8084","","","","00","","","","","東京都","江戸川区","中央４丁目","","サンサーラ新小岩","","","","総武中央線","新小岩","10","","","","","","","","","","","","","","","","","","1","","","","25800000","","1920000","581000","","","","","","","","44.43","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197902","","","","","","","","","","","","","","","【レインズ】","","",""
"100123485699","01","03","02","（株）大京穴吹不動産　錦糸町店","03-6757-3320","","","","00","","","","","東京都","江戸川区","春江町２丁目","","ルネサンスフォーラム瑞江ガーデン","","","","都営新宿線","瑞江","18","","","","","","","","","","","","","","","","","","4","","","","33800000","","1700000","515000","","","","","","","","65.73","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","11500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","200610","","","","","","","","","","","","","","","【レインズ】","","",""
"100123912884","01","03","02","喜正産業（株）　Ｐｌｕｓ４","08073849980","","","","00","","","","","東京都","江戸川区","瑞江２丁目","","セザール第二瑞江","","","","都営新宿線","瑞江","7","","","","","","","","","","","","","","","","","","5","","","","39900000","","1839000","557000","","","","","","","","71.73","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","17430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200306","","","","","","","","","","","","","","","【レインズ】","","",""
"100121096967","01","03","02","（株）オールフロー管理","03-6808-9597","","","","00","","","","","東京都","江戸川区","松江２丁目","","グリーンパーク新小岩","","","","都営新宿線","船堀","","","8","","","5","","","","","","","","","","","","","5","","","","27500000","","1522000","461000","","","","","","","","59.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198607","","","","","","","","","","","","","","","【レインズ】","","",""
"100124532471","01","03","02","（株）リナート","08043417434","","","","00","","","","","東京都","江戸川区","北葛西４丁目","","葛西パークサイドハイツ","","","","東西線","西葛西","12","","","","","","","","","","","","","","","","","","1","","","","35900000","","1974000","597000","","","","","","","","60.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197702","","","","","","","","","","","","","","","【レインズ】","","",""
"100124532409","01","03","02","（株）リナート","08043417434","","","","00","","","","","東京都","江戸川区","北葛西４丁目","","葛西パークサイドハイツ","","","","東西線","西葛西","12","","","","","","","","","","","","","","","","","","1","","","","36900000","","2028000","614000","","","","","","","","60.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197702","","","","","","","","","","","","","","","【レインズ】","","",""
"100122091665","01","03","02","（株）長谷工リアルエステート　町田店","070-4180-6639","","","","00","","","","","東京都","江戸川区","北小岩４丁目","","北小岩パーク・ホームズ","","","","京成本線","江戸川","5","","","","","","","","","","","","","","","","","","1","","","","31800000","","1312000","397000","","","","","","","","80.18","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","26300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199202","","","","","","","","","","","","","","","【レインズ】","","",""
