"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124604365","01","03","02","（株）東宝ハウス城東","03-6632-0453","","","","00","","","","","東京都","江戸川区","東小岩４丁目","","ライオンズ小岩グランテラス","","","","総武中央線","小岩","11","","","","","","","","","","","","","","","","","","4","","","","47800000","","2422000","733000","","","","","","","","65.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201702","","","","","","","","","","","","","","","【レインズ】","","",""
"100124238904","01","03","02","（有）土地企画センター","070-8467-4436","","","","00","","","","","東京都","江戸川区","一之江４丁目","","コスモフェスタ一之江","","","","都営新宿線","一之江","6","","","","","","","","","","","","","","","","","","1","","","","45900000","","2202000","666000","","","","","","","","68.93","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","12300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199601","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601845","01","03","02","（株）イエローキャピタルオーケストラ","03-6661-1256","","","","00","","","","","東京都","江戸川区","中葛西７丁目","","三生・エンゼルハイム中葛西","","","","東西線","葛西","11","","","","","","","","","","","","","","","","","","1","","","","48800000","","2280000","690000","","","","","","","","70.76","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","13090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","199511","","","","","","","","","","","","","","","【レインズ】","","",""
"100123979294","01","03","02","大成有楽不動産販売（株）　東陽町センター","03-5653-2811","","","","00","","","","","東京都","江戸川区","東葛西５丁目","","リリーベル葛西","","","","東西線","葛西","7","","","","","","","","","","","","","","","","","","4","","","","51900000","","2133000","645000","","","","","","","","80.47","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","17440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124121682","01","03","02","三井不動産リアルティ（株）三井のリハウス西葛西センター","03-3804-1131","","","","00","","","","","東京都","江戸川区","西瑞江３丁目","","アーリアシティ一之江","","","","都営新宿線","一之江","9","","","","","","","","","","","","","","","","","","5","","","","45800000","","2196000","665000","","","","","","","","68.97","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","12200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201402","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594352","01","03","02","住友林業ホームサービス（株）　東京支店","03-3231-2700","","","","00","","","","","東京都","江戸川区","船堀１丁目","","ハイラーク船堀","","","","都営新宿線","船堀","8","","","","","","","","","","","","","","","","","","4","","","","44900000","","2062000","624000","","","","","","","","72.00","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","8928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198006","","","","","","","","","","","","","","","【レインズ】","","",""
"100124301036","01","03","02","（株）長谷工リアルエステート　西葛西店","070-4180-6619","","","","00","","","","","東京都","江戸川区","西葛西３丁目","","バームハイツ西葛西","","","","東西線","西葛西","6","","","","","","","","","","","","","","","","","","1","","","","48100000","","2402000","727000","","","","","","","","66.20","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","8360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","198605","","","","","","","","","","","","","","","【レインズ】","","",""
"100124554781","01","03","02","三井不動産リアルティ（株）三井のリハウス西葛西センター","03-3804-1131","","","","00","","","","","東京都","江戸川区","西瑞江３丁目","","アーリアシティ一之江","","","","都営新宿線","一之江","9","","","","","","","","","","","","","","","","","","4","","","","46800000","","2256000","683000","","","","","","","","68.58","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","13696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","201402","","","","","","","","","","","","","","","【レインズ】","","",""
"100124526003","01","03","02","（株）ビーズネクサス","09044807975","","","","00","","","","","東京都","江戸川区","東小岩６丁目","","藤和シティホームズ東小岩","","","","総武中央線","小岩","12","","","","","","","","","","","","","","","","","","1","","","","42900000","","1920000","581000","","","","","","","","73.90","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","19580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199608","","","","","","","","","","","","","","","【レインズ】","","",""
"100124590184","01","03","02","花菱不動産（株）","090-7225-1660","","","","00","","","","","東京都","江戸川区","西一之江３丁目","","ダイアパレス一之江親水公園","","","","都営新宿線","一之江","12","","","","","","","","","","","","","","","","","","1","","","","44800000","","1895000","574000","","","","","","","","78.18","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","14700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199702","","","","","","","","","","","","","","","【レインズ】","","",""
