"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123963569","01","03","02","安永未来（株）","080-4749-3399","","","","00","","","","","東京都","江東区","毛利１丁目","","錦糸町グリーンハイツ","","","","総武中央線","錦糸町","6","","","","","","","","","","","","","","","","","","2","","","","36500000","","2308000","699000","","","","","","","","52.29","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","14300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124602845","01","03","02","三井ハウジング（株）","03-6457-3905","","","","00","","","","","東京都","江東区","毛利１丁目","","","","","","総武中央線","錦糸町","8","","","","","","","","","","","","","","","","","","2","","","","25800000","","2680000","811000","","","","","","","","31.83","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197404","","","","","","","","","","","","","","","【レインズ】","","",""
"100122933326","01","03","02","（株）ムゲンエステート","080-9712-9967","","","","00","","","","","東京都","江東区","亀戸６丁目","","レック亀戸グリーンマンション","","","","総武中央線","亀戸","4","","","","","","","","","","","","","","","","","","1","","","","37800000","","2084000","631000","","","","","","","","59.98","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","15740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198102","","","","","","","","","","","","","","","【レインズ】","","",""
"100123881875","01","03","02","（株）ムゲンエステート","080-9712-9967","","","","00","","","","","東京都","江東区","亀戸６丁目","","ヴェラハイツ亀戸","","","","東武亀戸線","亀戸","3","","","","","","","","","","","","","","","","","","1","","","","21800000","","2288000","693000","","","","","","","","31.50","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","10100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197803","","","","","","","","","","","","","","","【レインズ】","","",""
"100123449061","01","03","02","（株）ツクルバ","070-1316-6875","","","","00","","","","","東京都","江東区","東陽２丁目","","イトーピア東陽町マンション　Ｄ棟","","","","東西線","東陽町","6","","","","","","","","","","","","","","","","","","4","","","","43800000","","2560000","775000","","","","","","","","56.56","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","6800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197907","","","","","","","","","","","","","","","【レインズ】","","",""
"100123490464","01","03","02","（株）ツクルバ","080-3310-7263","","","","00","","","","","東京都","江東区","大島５丁目","","クレアシティ大島","","","","都営新宿線","大島","2","","","","","","","","","","","","","","","","","","4","","","","43800000","","2390000","723000","","","","","","","","60.60","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","199809","","","","","","","","","","","","","","","【レインズ】","","",""
"100123381244","01","03","02","（株）ムゲンエステート","080-9712-9967","","","","00","","","","","東京都","江東区","北砂３丁目","","ゾンネンハイム北砂","","","","都営新宿線","西大島","10","","","","","","","","","","","","","","","","","","1","","","","38800000","","2172000","657000","","","","","","","","59.08","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","9330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","198106","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600245","01","03","02","（株）プラン","03-5830-0031","","","","00","","","","","東京都","江東区","東砂３丁目","","モナーク東大島セカンドコート","","","","都営新宿線","東大島","15","","","","","","","","","","","","","","","","","","1","","","","38800000","","1831000","554000","","","","","","","","70.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124393033","01","03","02","東新住販（株）","080-3360-0469","","","","00","","","","","東京都","江東区","東砂８丁目","","ツインシティ弐番館アルス東砂","","","","東西線","南砂町","10","","","","","","","","","","","","","","","","","","2","","","","39800000","","1969000","596000","","","","","","","","66.85","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","7400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198609","","","","","","","","","","","","","","","【レインズ】","","",""
"100124598918","01","03","02","（株）プラン","070-2674-8539","","","","00","","","","","東京都","江東区","東砂７丁目","","ライオンズマンション南砂町","","","","東西線","南砂町","10","","","","","","","","","","","","","","","","","","1","","","","38990000","","2011000","609000","","","","","","","","64.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198510","","","","","","","","","","","","","","","【レインズ】","","",""
