"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124605800","01","03","02","（株）Ｄｅｖｏｔｅ","080-3918-5665","","","","00","","","","","東京都","江東区","東雲２丁目","","ザ・湾岸タワーレックスガーデン","","","","りんかい線","東雲","3","","","","","","","","","","","","","","","","","","4","","","","71800000","","3441000","1041000","","","","","","","","68.99","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","10400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","201209","","","","","","","","","","","","","","","【レインズ】","","",""
"100124544363","01","03","02","（株）アドバンス","03-5812-1918","","","","00","","","","","東京都","江東区","大島８丁目","","ライオンズタワー大島","","","","都営新宿線","大島","10","","","","","","","","","","","","","","","","","","1","","","","54900000","","2838000","859000","","","","","","","","63.96","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","10950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200407","","","","","","","","","","","","","","","【レインズ】","","",""
"100123491988","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","江東区","南砂６丁目","","エムステージ・イースティア","","","","東西線","南砂町","8","","","","","","","","","","","","","","","","","","1","","","","64900000","","2939000","890000","","","","","","","","73.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200104","","","","","","","","","","","","","","","【レインズ】","","",""
"100124602699","01","03","02","（株）シーク","03-3560-7070","","","","00","","","","","東京都","江東区","大島２丁目","","ソルフィエスタ猿江恩賜公園","","","","半蔵門線","住吉","8","","","","","","","","","","","","","","","","","","1","","","","52800000","","2692000","815000","","","","","","","","64.84","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","15760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200506","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601662","01","03","02","ナイス（株）　住まいの情報館木場","03-3630-6631","","","","00","","","","","東京都","江東区","南砂５丁目","","マイキャッスル南砂","","","","東西線","南砂町","12","","","","","","","","","","","","","","","","","","5","","","","46800000","","2197000","665000","","","","","","","","70.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","199903","","","","","","","","","","","","","","","【レインズ】","","",""
"100124598023","01","03","02","（株）朋栄　浅草寿店","03-5830-1133","","","","00","","","","","東京都","江東区","北砂１丁目","","ガーデンホーム住吉パークフォート","","","","都営新宿線","西大島","14","","","","","","","","","","","","","","","","","","5","","","","59800000","","2596000","786000","","","","","","","","76.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200609","","","","","","","","","","","","","","","【レインズ】","","",""
"100124597769","01","03","02","ハンズ不動産販売（株）","09036941274","","","","00","","","","","東京都","江東区","有明２丁目","","シティタワーズ東京ベイ　セントラルタワー","","","","ゆりかもめ","有明","4","","","","","","","","","","","","","","","","","","4","","","","61800000","","4733000","1432000","","","","","","","","43.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","201907","","","","","","","","","","","","","","","【レインズ】","","",""
"100124597461","01","03","02","（株）リナート","08043417446","","","","00","","","","","東京都","江東区","東陽３丁目","","ライオンズマンション東陽町第２","","","","東西線","木場","4","","","","","","","","","","","","","","","","","","1","","","","45900000","","2451000","742000","","","","","","","","61.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198411","","","","","","","","","","","","","","","【レインズ】","","",""
"100123478414","01","03","02","野村不動産ソリューションズ（株）　亀戸センター","03-5836-1051","","","","00","","","","","東京都","江東区","亀戸７丁目","","ガーラ・レジデンス亀戸セントラルパーク","","","","総武中央線","亀戸","14","","","","","","","","","","","","","","","","","","4","","","","62800000","","3381000","1023000","","","","","","","","61.42","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","201901","","","","","","","","","","","","","","","【レインズ】","","",""
"100123492802","01","03","02","三井不動産リアルティ（株）三井のリハウス清澄白河センター","03-5639-1631","","","","00","","","","","東京都","江東区","越中島３丁目","","ルネ・ベイグランデ","","","","京葉線","越中島","7","","","","","","","","","","","","","","","","","","4","","","","66800000","","2501000","757000","","","","","","","","88.30","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","12800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","199703","","","","","","","","","","","","","","","【レインズ】","","",""
