"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123170171","01","03","02","（株）フリースタイル","08054689801","","","","00","","","","","東京都","江東区","亀戸６丁目","","手アリ７５万円　プラウドタワー亀戸クロスブライトタワー","","","","総武中央線","亀戸","2","","","","","","","","","","","","","","","","","","5","","","","145000000","","6111000","1849000","","","","","","","","78.44","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","28600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","202112","","","","","","","","","","","","","","","【レインズ】","","",""
"100123683578","01","03","02","（株）ツクルバ","080-3310-7263","","","","00","","","","","東京都","江東区","有明１丁目","","ブリリア有明シティータワー","","","","ゆりかもめ","有明テニスの森","10","","","","","","","","","","","","","","","","","","4","","","","79900000","","4722000","1429000","","","","","","","","55.94","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","20690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","201412","","","","","","","","","","","","","","","【レインズ】","","",""
"100122417431","01","03","02","（株）ＹＡＫ　日暮里支店","070-3880-6688","","","","00","","","","","東京都","江東区","森下３丁目","","ドラゴンマンション森下壱番館","","","","都営新宿線","菊川","5","","","","","","","","","","","","","","","","","","5","","","","89500000","","2479000","750000","","","","","","","","119.38","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","31600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","199704","","","","","","","","","","","","","","","【レインズ】","","",""
"100124550192","01","03","02","三井不動産リアルティ（株）三井のリハウスららぽーと豊洲センター","03-3532-3331","","","","00","","","","","東京都","江東区","有明１丁目","","Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ　有明　ＭＩＤ　ＣＲＯＳＳ","","","","ゆりかもめ","お台場海浜公園","8","","","","","","","","","","","","","","","","","","5","","","","82800000","","3912000","1184000","","","","","","","","69.98","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","30100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","202106","","","","","","","","","","","","","","","【レインズ】","","",""
"100124604649","01","03","02","三井不動産リアルティ（株）三井のリハウスららぽーと豊洲センター","03-3532-3331","","","","00","","","","","東京都","江東区","豊洲２丁目","","アーバンドック　パークシティ豊洲　タワーＡ","","","","有楽町線","豊洲","6","","","","","","","","","","","","","","","","","","5","","","","108000000","","5002000","1514000","","","","","","","","71.38","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","200802","","","","","","","","","","","","","","","【レインズ】","","",""
"100124171232","01","03","02","（株）アクセルホーム　月島店","03-5547-3770","","","","00","","","","","東京都","江東区","東陽６丁目","","シェルゼ木場公園","","","","東西線","木場","9","","","","","","","","","","","","","","","","","","5","","","","82300000","","3871000","1171000","","","","","","","","70.29","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","12400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","200712","","","","","","","","","","","","","","","【レインズ】","","",""
"100124601663","01","03","02","ナイス（株）　住まいの情報館木場","03-3630-6631","","","","00","","","","","東京都","江東区","東陽６丁目","","シェルゼ木場公園","","","","東西線","木場","9","","","","","","","","","","","","","","","","","","5","","","","82300000","","3871000","1171000","","","","","","","","70.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","200712","","","","","","","","","","","","","","","【レインズ】","","",""
"100116148881","01","03","02","日谷産業（株）","03-5876-7936","","","","00","","","","","東京都","江東区","豊洲３丁目","","シティタワーズ豊洲ザ・シンボル","","","","有楽町線","豊洲","6","","","","","","","","","","","","","","","","","","5","","","","117000000","","4697000","1421000","","","","","","","","82.35","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","19170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","200912","","","","","","","","","","","","","","","【レインズ】","","",""
"100116148705","01","03","02","日谷産業（株）","03-5876-7936","","","","00","","","","","東京都","江東区","豊洲３丁目","","シティタワーズ豊洲　ザ・シンボル","","","","有楽町線","豊洲","6","","","","","","","","","","","","","","","","","","5","","","","99000000","","4863000","1471000","","","","","","","","67.31","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","16070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","200912","","","","","","","","","","","","","","","【レインズ】","","",""
"100122977417","01","03","02","池袋ビジネスカンパニー合同会社","03-5952-4781","","","","00","","","","","東京都","江東区","豊洲５丁目","","豊洲シエルタワー","","","","ゆりかもめ","豊洲","1","","","","","","","","","","","","","","","","","","3","","","","88000000","","5138000","1555000","","","","","","","","56.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200609","","","","","","","","","","","","","","","【レインズ】","","",""
