"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124436466","01","03","02","（株）ランドネット","03-3986-3390","","","","00","","","","","東京都","渋谷区","本町１丁目","","ハイツ本町","","","","京王線","幡ヶ谷","4","","","","","","","","","","","","","","","","","","1","","","","15800000","","1489000","451000","","","","","","","","35.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","12110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197403","","","","","","","","","","","","","","","【レインズ】","","",""
"100123798175","01","03","02","（株）シー・エフ・ネッツ　東京本社","070-3872-7740","","","","00","","","","","東京都","渋谷区","本町１丁目","","ワコー幡ヶ谷マンションＡ棟","","","","京王線","幡ヶ谷","7","","","","","","","","","","","","","","","","","","4","","","","16500000","","1684000","510000","","","","","","","","32.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","10740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197707","","","","","","","","","","","","","","","【レインズ】","","",""
"100124090530","01","03","02","（株）ＹＡＫ","03-5817-5817","","","","00","","","","","東京都","渋谷区","笹塚１丁目","","タイガースマンション笹塚","","","","京王線","笹塚","3","","","","","","","","","","","","","","","","","","3","","","","17000000","","1610000","487000","","","","","","","","34.92","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198203","","","","","","","","","","","","","","","【レインズ】","","",""
"300122934348","01","03","02","ｅリアルティ合同会社","06-6481-8188","","","","00","","","","","東京都","渋谷区","本町１丁目","","富士見マンション","","","","京王線","初台","6","","","","","","","","","","","","","","","","","","4","","","","18500000","","1807000","547000","","","","","","","","33.86","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","196507","","","","","","","","","","","","","","","【レインズ】","","",""
"100123335703","01","03","02","旭ハウジング（株）","050-3155-1562","","","","00","","","","","東京都","渋谷区","本町１丁目","","ハイツ本町","","","","京王線","幡ヶ谷","5","","","","","","","","","","","","","","","","","","4","","","","18800000","","1772000","536000","","","","","","","","35.08","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","19740","","","","","","","","","","","","","","","【レインズ】","","",""
"100117305135","01","03","02","（株）アルケミスト","08055300617","","","","00","","","","","東京都","渋谷区","笹塚１丁目","","サンコーポ笹塚","","","","京王線","笹塚","5","","","","","","","","","","","","","","","","","","5","","","","19500000","","1847000","559000","","","","","","","","34.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198009","","","","","","","","","","","","","","","【レインズ】","","",""
"100123833112","01","03","02","きらめき不動産（株）","045-633-3463","","","","00","","","","","東京都","渋谷区","広尾１丁目","","上智マンション","","","","山手線","恵比寿","6","","","","","","","","","","","","","","","","","","3","","","","19800000","","2009000","608000","","","","","","","","32.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","196301","","","","","","","","","","","","","","","【レインズ】","","",""
"100123642826","01","03","02","（株）ワールドイン","03-5466-3010","","","","00","","","","","東京都","渋谷区","幡ヶ谷１丁目","","シャンブル幡ヶ谷","","","","京王線","幡ヶ谷","","","","","","","","","","","","","","","","","","","4","","","","19800000","","2147000","650000","","","","","","","","30.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","7400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197812","","","","","","","","","","","","","","","【レインズ】","","",""
"100122102482","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","渋谷区","幡ヶ谷２丁目","","ダイアパレス幡ヶ谷","","","","京王線","笹塚","7","","","","","","","","","","","","","","","","","","1","","","","21800000","","2342000","709000","","","","","","","","30.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","6340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198410","","","","","","","","","","","","","","","【レインズ】","","",""
"100121232144","01","03","02","三菱地所ハウスネット（株）　渋谷営業所","03-3400-2300","","","","00","","","","","東京都","渋谷区","円山町","","渋谷藤和コープ","","","","井の頭線","神泉","1","","","","","","","","","","","","","","","","","","4","","","","21800000","","2086000","631000","","","","","","","","34.56","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","8500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","197110","","","","","","","","","","","","","","","【レインズ】","","",""
"100121766756","01","03","02","（株）インテリックス　本店","03-5766-3939","","","","00","","","","","東京都","渋谷区","笹塚２丁目","","パールハイツ笹塚","","","","京王線","笹塚","4","","","","","","","","","","","","","","","","","","1","","","","22980000","","2293000","694000","","","","","","","","33.14","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","7500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197411","","","","","","","","","","","","","","","【レインズ】","","",""
"100122256760","01","03","02","三井住友トラスト不動産（株）　津田沼センター","047-472-5661","","","","00","","","","","東京都","渋谷区","富ヶ谷２丁目","","代々木グランドハイツ","","","","小田急線","代々木八幡","10","","","","","","","","","","","","","","","","","","5","","","","23000000","","1560000","472000","","","","","","","","48.75","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","","","","16200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","196605","","","","","","","","","","","","","","","【レインズ】","","",""
"100124036614","01","03","02","（株）Ｍａｒｔｉｉ　Ｐｒｏｐｅｒｔｙ　Ｍａｎａｇｅｍｅｎｔ","03-5422-3309","","","","00","","","","","東京都","渋谷区","本町６丁目","","コーポ幡ヶ谷","","","","京王線","幡ヶ谷","8","","","","","","","","","","","","","","","","","","3","","","","23800000","","2317000","701000","","","","","","","","33.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","196909","","","","","","","","","","","","","","","【レインズ】","","",""
