"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124407550","01","03","02","（株）ｂｉｇ　ｏｎｅｓ","08031773748","","","","00","","","","","東京都","港区","海岸３丁目","","プレールドゥーク芝浦","","","","","","","","","","","","","","","","","","","","","","","","5","","","","536200","","34000","10000","","","","","","","","53.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201905","","","","","","","","","","","","","","","【レインズ】","","",""
"100122762610","01","03","02","住友不動産販売（株）　青山営業センター","03-5414-6221","","","","00","","","","","東京都","港区","西麻布３丁目","","霞町コーポ","","","","日比谷線","六本木","10","","","","","","","","","","","","","","","","","","5","","","","19550000","","1910000","578000","","","","","","","","33.85","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","9000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","196309","","","","","","","","","","","","","","","【レインズ】","","",""
"100123673020","01","03","02","（株）リロ・アール","03-5941-6770","","","","00","","","","","東京都","港区","高輪１丁目","","エル高輪","","","","南北線","白金高輪","5","","","","","","","","","","","","","","","","","","4","","","","21000000","","1660000","503000","","","","","","","","41.83","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","1","","","","","14230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198209","","","","","","","","","","","","","","","【レインズ】","","",""
"100123916240","01","03","02","（株）長谷工リアルエステート　白金高輪センター","03-5421-7702","","","","00","","","","","東京都","港区","白金４丁目","","ニュー白金マンション","","","","都営三田線","白金高輪","8","","","","","","","","","","","","","","","","","","4","","","","22800000","","2327000","704000","","","","","","","","32.40","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","7500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124563294","01","03","02","東急リバブル（株）　橋本センター","042-861-1109","","","","00","","","","","東京都","港区","南麻布１丁目","","麻布ローヤルコーポ","","","","南北線","麻布十番","6","","","","","","","","","","","","","","","","","","3","","","","23800000","","2356000","713000","","","","","","","","33.40","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197010","","","","","","","","","","","","","","","【レインズ】","","",""
"100123595386","01","03","02","住友不動産販売（株）　八重洲統括オフィス　八重洲営業センター","03-6852-0225","","","","00","","","","","東京都","港区","新橋６丁目","","ＤＩＫマンション新橋","","","","都営三田線","御成門","5","","","","","","","","","","","","","","","","","","5","","","","23800000","","2614000","791000","","","","","","","","30.10","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","197708","","","","","","","","","","","","","","","【レインズ】","","",""
"100123884744","01","03","02","（株）フリースタイル","09078320534","","","","00","","","","","東京都","港区","高輪３丁目","","藤ビル","","","","都営浅草線","高輪台","1","","","","","","","","","","","","","","","","","","4","","","","23800000","","2182000","661000","","","","","","","","36.06","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","15290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","196512","","","","","","","","","","","","","","","【レインズ】","","",""
"100122898934","01","03","02","財形不動産（株）","03-3585-0026","","","","00","","","","","東京都","港区","西麻布４丁目","","麻布霞町マンション","","","","日比谷線","六本木","7","","","","","","","","","","","","","","","","","","5","","","","24800000","","2642000","799000","","","","","","","","31.04","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","9700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","196605","","","","","","","","","","","","","","","【レインズ】","","",""
"100121361552","01","03","02","レアルコンサルティング（株）","03-6911-3939","","","","00","","","","","東京都","港区","赤坂２丁目","","赤坂ロイヤルプラザ","","","","千代田線","赤坂","2","","","","","","","","","","","","","","","","","","5","","","","24800000","","2641000","799000","","","","","","","","31.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","13410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198208","","","","","","","","","","","","","","","【レインズ】","","",""
"100123464358","01","03","02","（株）フィンスター","03-6161-0022","","","","00","","","","","東京都","港区","赤坂２丁目","","赤坂ロイヤルプラザ","","","","千代田線","赤坂","2","","","","","","","","","","","","","","","","","","5","","","","24800000","","2641000","799000","","","","","","","","31.05","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","13410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198208","","","","","","","","","","","","","","","【レインズ】","","",""
