"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123078063","01","03","02","三菱地所ハウスネット（株）　Ｃｕｂｅ　ｉ　有楽町","03-3283-6095","","","","00","","","","","東京都","港区","高輪３丁目","","グランリビオ高輪三丁目","","","","都営浅草線","高輪台","2","","","","","","","","","","","","","","","","","","5","","","","72590000","","6320000","1912000","","","","","","","","37.97","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","12590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","201804","","","","","","","","","","","","","","","【レインズ】","","",""
"100122683460","01","03","02","（株）アクティ","090-4759-8661","","","","00","","","","","東京都","港区","高輪３丁目","","グランリビオ高輪三丁目","","","","都営浅草線","高輪台","2","","","","","","","","","","","","","","","","","","5","","","","72590000","","6320000","1912000","","","","","","","","37.97","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","12590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","201804","","","","","","","","","","","","","","","【レインズ】","","",""
"100124535498","01","03","02","三井不動産リアルティ（株）三井のリハウス保土ケ谷センター","045-342-1731","","","","00","","","","","東京都","港区","白金台３丁目","","マンション白金台","","","","南北線","白金台","3","","","","","","","","","","","","","","","","","","4","","","","72800000","","3741000","1132000","","","","","","","","64.34","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","14020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197709","","","","","","","","","","","","","","","【レインズ】","","",""
"100124382547","01","03","02","三井不動産リアルティ（株）三井のリハウス芝浦センター","03-5419-9931","","","","00","","","","","東京都","港区","芝浦４丁目","","芝浦アイランドグローヴタワー","","","","山手線","田町","8","","","","","","","","","","","","","","","","","","5","","","","72800000","","5114000","1547000","","","","","","","","47.06","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","12850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","200611","","","","","","","","","","","","","","","【レインズ】","","",""
"100124502713","01","03","02","（株）ＴＧトラスト","03-6379-9299","","","","00","","","","","東京都","港区","芝浦４丁目","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","72800000","","5114000","1547000","","","","","","","","47.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","200611","","","","","","","","","","","","","","","【レインズ】","","",""
"100123049380","01","03","02","住友不動産販売（株）　三田営業センター","03-3451-3061","","","","00","","","","","東京都","港区","芝浦４丁目","","三田ナショナルコート","","","","山手線","田町","11","","","","","","","","","","","","","","","","","","4","","","","72800000","","2994000","906000","","","","","","","","80.40","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","15200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","198201","","","","","","","","","","","","","","","【レインズ】","","",""
"100122975885","01","03","02","三友サービス（株）","03-5961-3050","","","","00","","","","","東京都","港区","芝浦１丁目","","ＧＬＯＢＡＬ　ＦＲＯＮＴ　ＴＯＷＥＲ","","","","山手線","田町","10","","","","","","","","","","","","","","","","","","5","","","","72800000","","5136000","1554000","","","","","","","","46.86","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","","","","14230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201509","","","","","","","","","","","","","","","【レインズ】","","",""
"100122727641","01","03","02","住友不動産販売（株）　品川マンションプラザ","03-6717-6820","","","","00","","","","","東京都","港区","芝浦４丁目","","芝浦アイランドケープタワー","","","","山手線","田町","14","","","","","","","","","","","","","","","","","","4","","","","72900000","","4455000","1348000","","","","","","","","54.10","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","13150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","200610","","","","","","","","","","","","","","","【レインズ】","","",""
"100122711313","01","03","02","ジャパン・リアルエステート（株）","050-5812-0610","","","","00","","","","","東京都","港区","海岸３丁目","","レグノ　オン・ザ・ベイ","","","","ゆりかもめ","芝浦ふ頭","12","","","","","","","","","","","","","","","","","","1","","","","72900000","","3595000","1088000","","","","","","","","67.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","6200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200403","","","","","","","","","","","","","","","【レインズ】","","",""
"100118707591","01","03","02","ハイライフホーム（株）","03-6453-8136","","","","00","","","","","東京都","港区","赤坂９丁目","","ルピナス赤坂乃木坂","","","","千代田線","乃木坂","5","","","","","","","","","","","","","","","","","","3","","","","73000000","","4413000","1335000","","","","","","","","54.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199803","","","","","","","","","","","","","","","【レインズ】","","",""
