"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123588995","01","03","02","三井不動産リアルティ（株）六本木リアルプランセンター","03-6229-3731","","","","00","","","","","東京都","港区","赤坂４丁目","","パークコート赤坂ザタワー","","","","千代田線","赤坂","8","","","","","","","","","","","","","","","","","","4","","","","252000000","","8966000","2713000","","","","","","","","92.92","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","30110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","200906","","","","","","","","","","","","","","","【レインズ】","","",""
"100123448890","01","03","02","（株）メリー・コーポレーション","03-6427-7520","","","","00","","","","","東京都","港区","元麻布２丁目","","ザ・パークハウス元麻布","","","","南北線","麻布十番","9","","","","","","","","","","","","","","","","","","3","","","","252000000","","8989000","2720000","","","","","","","","92.68","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","31700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201212","","","","","","","","","","","","","","","【レインズ】","","",""
"100123790106","01","03","01","三井不動産リアルティ（株）麻布リアルプランセンター","03-5789-3131","","","","00","","","","1","東京都","港区","白金１丁目","","白金ザ・スカイ　東棟","","","","南北線","白金高輪","3","","","","","","","","","","","","","","","","","","4","","","","253000000","","11647000","3524000","","","","","","","","71.81","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","27747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","202302","","","","","","","","","","","","","","","【レインズ】","","",""
"100122264013","01","03","02","東急リバブル（株）　グランタクト六本木","03-6843-1090","","","","00","","","","","東京都","港区","高輪４丁目","","ブリリア高輪レフィール","","","","山手線","品川","9","","","","","","","","","","","","","","","","","","3","","","","255000000","","7623000","2306000","","","","","","","","110.59","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","62400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","202001","","","","","","","","","","","","","","","【レインズ】","","",""
"100124454922","01","03","02","三菱地所レジデンス（株）　リノベーション事業部","03-6281-8111","","","","00","","","","","東京都","港区","南青山４丁目","","ザ・パークハウスグラン南青山四丁目","","","","半蔵門線","表参道","8","","","","","","","","","","","","","","","","","","1","","","","255000000","","10286000","3112000","","","","","","","","81.96","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","66720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201811","","","","","","","","","","","","","","","【レインズ】","","",""
"100120706664","01","03","02","リストインターナショナルリアルティ（株）　東京オフィス","080-8779-6227","","","","00","","","","","東京都","港区","虎ノ門３丁目","","ブランズ愛宕虎ノ門","","","","日比谷線","神谷町","2","","","","","","","","","","","","","","","","","","5","","","","256500000","","11303000","3420000","","","","","","","","75.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","202102","","","","","","","","","","","","","","","【レインズ】","","",""
"100123642726","01","03","02","美月リアルティ（株）","03-3780-7008","","","","00","","","","","東京都","港区","虎ノ門３丁目","","ブランズ愛宕虎ノ門","","","","日比谷線","神谷町","2","","","","","","","","","","","","","","","","","","5","","","","256500000","","11303000","3420000","","","","","","","","75.02","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","40300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","202102","","","","","","","","","","","","","","","【レインズ】","","",""
"100124588865","01","03","02","（株）ウィルゲイツ・インベストメント","080-3367-4293","","","","00","","","","","東京都","港区","南青山１丁目","","グランドメゾン南青山","","","","銀座線","青山一丁目","6","","","","","","","","","","","","","","","","","","1","","","","258000000","","7265000","2198000","","","","","","","","117.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200212","","","","","","","","","","","","","","","【レインズ】","","",""
"100124542041","01","03","02","住友不動産販売（株）　麻布マンションプラザ","03-5449-6195","","","","00","","","","","東京都","港区","白金１丁目","","白金ザ・スカイ","","","","南北線","白金高輪","4","","","","","","","","","","","","","","","","","","3","","","","258000000","","10946000","3312000","","","","","","","","77.92","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","30108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","202212","","","","","","","","","","","","","","","【レインズ】","","",""
"100124479829","01","03","02","三井不動産リアルティ（株）銀座リアルプランセンター","03-3575-1133","","","","00","","","","","東京都","港区","浜松町１丁目","","パークコート浜離宮　ザ　タワー","","","","山手線","浜松町","5","","","","","","","","","","","","","","","","","","4","","","","258000000","","12386000","3747000","","","","","","","","68.86","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","26160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","201902","","","","","","","","","","","","","","","【レインズ】","","",""
"100122012821","01","03","02","野村不動産ソリューションズ（株）　レアリア東京","03-5114-5973","","","","00","","","","","東京都","港区","白金６丁目","","グランドメゾン白金の杜ザ・タワー","","","","南北線","白金台","10","","","","","","","","","","","","","","","","","","3","","","","260000000","","9117000","2758000","","","","","","","","94.28","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","29400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","201505","","","","","","","","","","","","","","","【レインズ】","","",""
"100124530877","01","03","02","東急住宅リース（株）　インベストメントグループ","03-6901-6450","","","","00","","","","","東京都","港区","南青山２丁目","","青山ザ・タワー","","","","銀座線","外苑前","4","","","","","","","","","","","","","","","","","","1","","","","260000000","","9442000","2857000","","","","","","","","91.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","200405","","","","","","","","","","","","","","","【レインズ】","","",""
"100123616983","01","03","01","（株）ケン・コーポレーション　住宅営業部","03-5413-5601","","","","00","","","","1","東京都","港区","白金１丁目","","白金ザ・スカイ　Ｅ棟","","","","南北線","白金高輪","3","","","","","","","","","","","","","","","","","","5","","","","264000000","","10742000","3250000","","","","","","","","81.25","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","31394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","202302","","","","","","","","","","","","","","","【レインズ】","","",""
"100122858347","01","03","02","（株）ケン・コーポレーション　住宅営業部","03-5413-5601","","","","00","","","","","東京都","港区","南青山４丁目","","ザ・パークハウスグラン南青山四丁目","","","","半蔵門線","表参道","7","","","","","","","","","","","","","","","","","","5","","","","264000000","","10649000","3222000","","","","","","","","81.96","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","66720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201902","","","","","","","","","","","","","","","【レインズ】","","",""
"100123819855","01","03","01","三井不動産リアルティ（株）三井のリハウス白金高輪センター","03-5424-4131","","","","00","","","","1","東京都","港区","白金１丁目","","白金ザ・スカイ　東棟","","","","南北線","白金高輪","3","","","","","","","","","","","","","","","","","","5","","","","264000000","","10742000","3250000","","","","","","","","81.25","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","31394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","202302","","","","","","","","","","","","","","","【レインズ】","","",""
"100119999771","01","03","02","野村不動産ソリューションズ（株）　三田センター","03-5765-2236","","","","00","","","","","東京都","港区","芝２丁目","","プラウド芝公園","","","","都営三田線","芝公園","5","","","","","","","","","","","","","","","","","","4","","","","265000000","","8331000","2520000","","","","","","","","105.16","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","36700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","201710","","","","","","","","","","","","","","","【レインズ】","","",""
"100123983436","01","03","02","（株）プレミアムライフ　住宅事業部","0364146111","","","","00","","","","","東京都","港区","芝４丁目","","カテリーナ三田タワースイートイーストアーク","","","","山手線","田町","6","","","","","","","","","","","","","","","","","","4","","","","265000000","","6908000","2090000","","","","","","","","126.82","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","41470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","200608","","","","","","","","","","","","","","","【レインズ】","","",""
"100123423544","01","03","02","三井不動産リアルティ（株）青山リアルプランセンター","03-3409-6131","","","","00","","","","","東京都","港区","赤坂８丁目","","ヴェーゼント赤坂新坂","","","","銀座線","青山一丁目","4","","","","","","","","","","","","","","","","","","4","","","","268000000","","9259000","2801000","","","","","","","","95.69","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","26790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200103","","","","","","","","","","","","","","","【レインズ】","","",""
"100124053086","01","03","02","東京建物不動産販売（株）　白金高輪支店","03-5422-8380","","","","00","","","","","東京都","港区","白金２丁目","","白金ハウス","","","","都営三田線","白金台","5","","","","","","","","","","","","","","","","","","4","","","","268000000","","5018000","1518000","","","","","","","","176.58","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","113890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199103","","","","","","","","","","","","","","","【レインズ】","","",""
"100123402315","01","03","01","東京建物不動産販売（株）　白金高輪支店","03-5422-8380","","","","00","","","","1","東京都","港区","白金１丁目","","白金ザ・スカイ　東棟","","","","南北線","白金高輪","3","","","","","","","","","","","","","","","","","","4","","","","269000000","","12068000","3651000","","","","","","","","73.69","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","28473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","202302","","","","","","","","","","","","","","","【レインズ】","","",""
"100124097283","01","03","02","（株）アジア商事","08042978808","","","","00","","","","","東京都","港区","高輪１丁目","","プレミストタワー白金高輪","","","","都営三田線","白金高輪","1","","","","","","","","","","","","","","","","","","3","","","","269800000","","10956000","3315000","","","","","","","","81.41","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","37500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","202211","","","","","","","","","","","","","","","【レインズ】","","",""
