"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123354489","01","03","02","ＳＵパートナーズ（株）","03-6721-7940","","","","00","","","","","東京都","目黒区","東が丘２丁目","","目黒第一コーポラス","","","","田園都市線","駒沢大学","2","","","","","","","","","","","","","","","","","","1","","","","25000000","","1862000","564000","","","","","","","","44.39","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","9116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","196606","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603350","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","目黒区","下目黒１丁目","","ドエルアルス目黒","","","","山手線","目黒","5","","","","","","","","","","","","","","","","","","1","","","","49800000","","3995000","1209000","","","","","","","","41.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197908","","","","","","","","","","","","","","","【レインズ】","","",""
"100123647557","01","03","02","（株）ウィル　自由が丘営業所","03-3723-5500","","","","00","","","","","東京都","目黒区","五本木２丁目","","セザール祐天寺","","","","東横線","祐天寺","6","","","","","","","","","","","","","","","","","","4","","","","40700000","","3346000","1012000","","","","","","","","40.22","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","13310","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198409","","","","","","","","","","","","","","","【レインズ】","","",""
"100124594804","01","03","02","（株）アイミリー","07013691781","","","","00","","","","","東京都","目黒区","三田２丁目","","秀和目黒レジデンス","","","","山手線","目黒","10","","","","","","","","","","","","","","","","","","2","","","","36600000","","3236000","979000","","","","","","","","37.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","196712","","","","","","","","","","","","","","","【レインズ】","","",""
"100124569614","01","03","02","三井不動産リアルティ（株）三井のリハウス三軒茶屋センター","03-3413-1131","","","","00","","","","","東京都","目黒区","碑文谷２丁目","","グランシティ碑文谷","","","","東横線","学芸大学","11","","","","","","","","","","","","","","","","","","4","","","","49800000","","4078000","1234000","","","","","","","","40.37","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","7630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","200402","","","","","","","","","","","","","","","【レインズ】","","",""
"100123214430","01","03","02","（株）イデアルシーク","03-5909-2821","","","","00","","","","","東京都","目黒区","中根２丁目","","パークハイツ都立大","","","","東横線","都立大学","2","","","","","","","","","","","","","","","","","","1","","","","43800000","","3288000","995000","","","","","","","","44.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198103","","","","","","","","","","","","","","","【レインズ】","","",""
"100123678906","01","03","02","（株）インテリックス　本店","03-5766-3939","","","","00","","","","","東京都","目黒区","下目黒２丁目","","フォンテーヌ目黒","","","","山手線","目黒","10","","","","","","","","","","","","","","","","","","1","","","","46900000","","3233000","978000","","","","","","","","47.96","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198304","","","","","","","","","","","","","","","【レインズ】","","",""
"100124575766","01","03","02","（株）ホームサーチ","090-3040-3888","","","","00","","","","","東京都","目黒区","目黒本町２丁目","","東急ドエル清水","","","","東横線","学芸大学","14","","","","","","","","","","","","","","","","","","1","","","","39800000","","2136000","647000","","","","","","","","61.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197311","","","","","","","","","","","","","","","【レインズ】","","",""
"100124592987","01","03","02","（株）ツクルバ","08091616234","","","","00","","","","","東京都","目黒区","下目黒２丁目","","下目黒シテイハウス","","","","山手線","目黒","9","","","","","","","","","","","","","","","","","","1","","","","48900000","","3291000","996000","","","","","","","","49.13","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","19652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","199108","","","","","","","","","","","","","","","【レインズ】","","",""
"100124592769","01","03","02","（株）ツクルバ","09098422848","","","","00","","","","","東京都","目黒区","柿の木坂２丁目","","柿の木坂サニーハイツ","","","","東横線","都立大学","11","","","","","","","","","","","","","","","","","","5","","","","42800000","","2859000","865000","","","","","","","","49.50","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197805","","","","","","","","","","","","","","","【レインズ】","","",""
