"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124579846","01","03","02","ミライアス（株）","08052616086","","","","00","","","","","東京都","目黒区","東山１丁目","","シティハウス中目黒ステーションコート","","","","東横線","中目黒","4","","","","","","","","","","","","","","","","","","1","","","","116000000","","6382000","1931000","","","","","","","","60.09","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","18757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","201708","","","","","","","","","","","","","","","【レインズ】","","",""
"100124427084","01","03","02","（株）二期","080-1654-7865","","","","00","","","","","東京都","目黒区","大橋１丁目","","プリズムタワー","","","","田園都市線","池尻大橋","2","","","","","","","","","","","","","","","","","","1","","","","79900000","","5993000","1813000","","","","","","","","44.08","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","12700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","200904","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603378","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","目黒区","目黒２丁目","","朝日シティパリオ中目黒","","","","山手線","目黒","13","","","","","","","","","","","","","","","","","","1","","","","67800000","","4177000","1264000","","","","","","","","53.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","199803","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603309","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","目黒区","下目黒３丁目","","ベルク目黒","","","","山手線","目黒","12","","","","","","","","","","","","","","","","","","1","","","","134800000","","5384000","1629000","","","","","","","","82.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199803","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603304","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","目黒区","下目黒１丁目","","ドエルアルス目黒","","","","山手線","目黒","5","","","","","","","","","","","","","","","","","","1","","","","56890000","","4564000","1381000","","","","","","","","41.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197908","","","","","","","","","","","","","","","【レインズ】","","",""
"100124603288","01","03","02","（株）パックシステム","090-4900-3203","","","","00","","","","","東京都","目黒区","下目黒３丁目","","ベルク目黒","","","","山手線","目黒","12","","","","","","","","","","","","","","","","","","1","","","","122890000","","5025000","1520000","","","","","","","","80.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199803","","","","","","","","","","","","","","","【レインズ】","","",""
"100124529975","01","03","02","（株）ＣＯＣＯ－ＨＯＵＳＥ","0467-38-8130","","","","00","","","","","東京都","目黒区","祐天寺１丁目","","","","","","東横線","祐天寺","8","","","","","","","","","","","","","","","","","","4","","","","73800000","","4486000","1357000","","","","","","","","54.39","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","16200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","201007","","","","","","","","","","","","","","","【レインズ】","","",""
"300123403146","01","03","02","（株）リゼスト","080-3587-6291","","","","00","","","","","東京都","目黒区","中目黒５丁目","","ライオンズマンション祐天寺","","","","東横線","祐天寺","12","","","","","","","","","","","","","","","","","","5","","","","84500000","","3612000","1093000","","","","","","","","77.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200102","","","","","","","","","","","","","","","【レインズ】","","",""
"100123719497","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","目黒区","目黒本町２丁目","","ディアナコート碑文谷イーストアベニュー","","","","東横線","学芸大学","12","","","","","","","","","","","","","","","","","","1","","","","80900000","","4380000","1325000","","","","","","","","61.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","200403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124352596","01","03","02","（株）ＢＬＥＳＳ","08073982200","","","","00","","","","","東京都","目黒区","駒場１丁目","","ザ・サンメゾン駒場エルド","","","","井の頭線","駒場東大前","7","","","","","","","","","","","","","","","","","","4","","","","54900000","","4223000","1278000","","","","","","","","42.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","16980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","201402","","","","","","","","","","","","","","","【レインズ】","","",""
