"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100123604430","01","03","02","（株）万盛","090-1767-9226","","","","00","","","","","","練馬区関町","北１丁目","","カ－サ武蔵関　手４　表８．１","","","","西武新宿線","武蔵関","4","","","","","","","","","","","","","","","","","","1","","","","14200000","","1208000","366000","","","","","","","","38.88","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","12714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197308","","","","","","","","","","","","","","","【レインズ】","","",""
"100124606067","01","03","02","㈱リップル","049-249-8200","","","","00","","","","","東京都","練馬区","北町３丁目","","東武練馬第二ロイヤルコーポ","","","","東武東上線","東武練馬","8","","","","","","","","","","","","","","","","","","1","","","","34800000","","2059000","623000","","","","","","","","55.89","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","10900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198210","","","","","","","","","","","","","","","【レインズ】","","",""
"100124605917","01","03","02","㈱リップル","049-249-8200","","","","00","","","","","東京都","練馬区","石神井台３丁目","","石神井公園サニーコーポ","","","","西武池袋線","大泉学園","15","","","","","","","","","","","","","","","","","","1","","","","32800000","","1933000","585000","","","","","","","","56.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198303","","","","","","","","","","","","","","","【レインズ】","","",""
"100124118582","01","03","02","㈱リップル","049-249-8200","","","","00","","","","","東京都","練馬区","中村１丁目","","キャニオンマンション中村橋","","","","西武池袋線","練馬","10","","","","","","","","","","","","","","","","","","1","","","","35800000","","2081000","630000","","","","","","","","56.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197904","","","","","","","","","","","","","","","【レインズ】","","",""
"100122888374","01","03","02","（株）日新ハウジング","03-3228-0701","","","","00","","","","","東京都","練馬区","豊玉北６丁目","","練馬ローヤルコーポ","","","","西武池袋線","練馬","8","","","","","","","","","","","","","","","","","","1","","","","18800000","","1982000","600000","","","","","","","","31.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197410","","","","","","","","","","","","","","","【レインズ】","","",""
"100124366798","01","03","02","（株）グローバル不動産販売　東京営業所","03-6433-5432","","","","00","","","","","東京都","練馬区","豊玉上２丁目","","セブンスターマンション桜台","","","","西武池袋線","桜台","5","","","","","","","","","","","","","","","","","","3","","","","15800000","","1365000","413000","","","","","","","","38.28","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","197504","","","","","","","","","","","","","","","【レインズ】","","",""
"100124309230","01","03","02","（株）理想空間","03-5843-5710","","","","00","","","","","","練馬区中村","北４丁目","","大洋中村北マンション","","","","西武池袋線","中村橋","5","","","","","","","","","","","","","","","","","","1","","","","18990000","","1831000","554000","","","","","","","","34.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197610","","","","","","","","","","","","","","","【レインズ】","","",""
"100119920727","01","03","02","（株）Ｋｅｙｖｅｓｔ　Ｊａｐａｎ","080-9501-5955","","","","00","","","","","東京都","練馬区","氷川台３丁目","","グレイスコート氷川台","","","","有楽町線","氷川台","6","","","","","","","","","","","","","","","","","","1","","","","39800000","","2116000","640000","","","","","","","","62.19","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","1","","","","","10340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198803","","","","","","","","","","","","","","","【レインズ】","","",""
"100124549961","01","03","02","（株）日新ハウジング","03-3228-0701","","","","00","","","","","","練馬区関町","北３丁目","","第一浜コーポ","","","","西武新宿線","武蔵関","12","","","","","","","","","","","","","","","","","","4","","","","15500000","","1357000","411000","","","","","","","","37.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198501","","","","","","","","","","","","","","","【レインズ】","","",""
"100124600361","01","03","02","（株）正直な家","03-6300-6384","","","","00","","","","","東京都","練馬区","練馬３丁目","","ライオンズマンション練馬","","","","大江戸線","練馬","7","","","","","","","","","","","","","","","","","","1","","","","39800000","","2848000","862000","","","","","","","","46.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198601","","","","","","","","","","","","","","","【レインズ】","","",""
"100124465630","01","03","02","大成有楽不動産販売（株）　練馬センター","03-5912-6411","","","","00","","","","","東京都","練馬区","早宮１丁目","","コーポ豊島園","","","","有楽町線","平和台","11","","","","","","","","","","","","","","","","","","5","","","","20200000","","1473000","446000","","","","","","","","45.36","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","7680","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197402","","","","","","","","","","","","","","","【レインズ】","","",""
