"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124604506","01","03","02","（株）リアルキューブ","03-5651-7725","","","","00","","","","","東京都","練馬区","旭町１丁目","","マイキャッスル光が丘","","","","大江戸線","光が丘","15","","","","","","","","","","","","","","","","","","1","","","","45800000","","2341000","708000","","","","","","","","64.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","200002","","","","","","","","","","","","","","","【レインズ】","","",""
"100124547840","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","練馬区","光が丘７丁目","","光が丘パークタウン大通り南６号","","","","大江戸線","光が丘","7","","","","","","","","","","","","","","","","","","1","","","","49900000","","2517000","762000","","","","","","","","65.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198408","","","","","","","","","","","","","","","【レインズ】","","",""
"100124602744","01","03","02","大和ハウス工業（株）　東京本店","080-9698-1355","","","","00","","","","","東京都","練馬区","田柄１丁目","","藤和ライブタウン平和台ザ・パティオ","","","","有楽町線","平和台","8","","","","","","","","","","","","","","","","","","4","","","","59800000","","1760000","533000","","","","","","","","112.38","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","17900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199807","","","","","","","","","","","","","","","【レインズ】","","",""
"100123821913","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","練馬区","光が丘３丁目","","パークサイド光が丘","","","","大江戸線","光が丘","12","","","","","","","","","","","","","","","","","","1","","","","46800000","","2401000","727000","","","","","","","","64.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","198803","","","","","","","","","","","","","","","【レインズ】","","",""
"100122864014","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","練馬区","田柄３丁目","","ダイアパレス光が丘弐番館","","","","大江戸線","練馬春日町","9","","","","","","","","","","","","","","","","","","1","","","","47900000","","2407000","728000","","","","","","","","65.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199709","","","","","","","","","","","","","","","【レインズ】","","",""
"100124589073","01","03","02","（株）ＭＵＳＵＢＵ","03-6452-5451","","","","00","","","","","東京都","練馬区","石神井台４丁目","","日神パレステージ石神井台","","","","西武新宿線","上石神井","13","","","","","","","","","","","","","","","","","","1","","","","51900000","","2280000","690000","","","","","","","","75.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","200209","","","","","","","","","","","","","","","【レインズ】","","",""
"100124554135","01","03","02","（株）エスエーワークス","03-5928-6311","","","","00","","","","","","練馬区関町","北２丁目","","ライオンズプラザ武蔵関リュイール","","","","西武新宿線","武蔵関","4","","","","","","","","","","","","","","","","","","4","","","","61800000","","2402000","727000","","","","","","","","85.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","200607","","","","","","","","","","","","","","","【レインズ】","","",""
"100121878285","01","03","02","三菱ＵＦＪ不動産販売（株）　池袋西口センター","03-3987-8551","","","","00","","","","","東京都","練馬区","上石神井４丁目","","ユアコート上石神井","","","","西武新宿線","上石神井","6","","","","","","","","","","","","","","","","","","4","","","","44800000","","1970000","596000","","","","","","","","75.21","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","13580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199712","","","","","","","","","","","","","","","【レインズ】","","",""
"100124396212","01","03","02","（株）マイプレイス","03-5652-8330","","","","00","","","","","東京都","練馬区","光が丘７丁目","","光が丘パークタウン大通り南６号棟","","","","大江戸線","光が丘","7","","","","","","","","","","","","","","","","","","1","","","","52900000","","2668000","807000","","","","","","","","65.56","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","13500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198408","","","","","","","","","","","","","","","【レインズ】","","",""
"100123485533","01","03","02","（株）ニッテイライフ","03-4589-6911","","","","00","","","","","","練馬区中村","北４丁目","","ロイヤルステーション中村橋","","","","西武池袋線","中村橋","1","","","","","","","","","","","","","","","","","","4","","","","50000000","","1950000","590000","","","","","","","","84.78","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","40640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199902","","","","","","","","","","","","","","","【レインズ】","","",""
