"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100120468147","01","03","02","（株）アートプロパティマネジメント","03-5422-1139","","","","00","","","","","東京都","荒川区","東日暮里５丁目","","鶯谷マンション","","","","山手線","鶯谷","5","","","","","","","","","","","","","","","","","","5","","","","11500000","","1268000","384000","","","","","","","","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197108","","","","","","","","","","","","","","","【レインズ】","","",""
"100124542377","01","03","02","（株）エフステージ","03-3868-2122","","","","00","","","","","東京都","荒川区","東尾久２丁目","","エス・ライズコート","","","","日暮里舎人","赤土小学校前","2","","","","","","","","","","","","","","","","","","1","","","","11800000","","1193000","361000","","","","","","","","32.70","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","6129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197705","","","","","","","","","","","","","","","【レインズ】","","",""
"100124526919","01","03","02","東急リバブル（株）　板橋センター","03-6871-0109","","","","00","","","","","東京都","荒川区","東日暮里２丁目","","大和コーポ","","","","日比谷線","三ノ輪","9","","","","","","","","","","","","","","","","","","3","","","","12000000","","790000","239000","","","","","","","","50.22","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","1","","","","","9225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197308","","","","","","","","","","","","","","","【レインズ】","","",""
"100124542366","01","03","02","（株）エフステージ","03-3868-2122","","","","00","","","","","東京都","荒川区","西尾久２丁目","","エス・ライズコート","","","","日暮里舎人","赤土小学校前","2","","","","","","","","","","","","","","","","","","1","","","","12800000","","1023000","310000","","","","","","","","41.40","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","","","","","7034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","197705","","","","","","","","","","","","","","","【レインズ】","","",""
"100123529499","01","03","02","（有）大栄商会","03-5630-6036","","","","00","","","","","東京都","荒川区","西尾久４丁目","","パークステージ尾久","","","","東北本線（宇都宮線）","尾久","5","","","","","","","","","","","","","","","","","","3","","","","14000000","","1470000","445000","","","","","","","","31.50","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198901","","","","","","","","","","","","","","","【レインズ】","","",""
"100124466364","01","03","02","（株）アートム","03-3346-7850","","","","00","","","","","","荒川区町","屋４丁目","","町屋コーポ","","","","千代田線","町屋","8","","","","","","","","","","","","","","","","","","1","","","","14800000","","1275000","386000","","","","","","","","38.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197205","","","","","","","","","","","","","","","【レインズ】","","",""
"100124477182","01","03","02","（株）トップトラスト","080-9152-0028","","","","00","","","","","東京都","荒川区","東尾久６丁目","","光建ハイム東尾久","","","","都電荒川線","熊野前","7","","","","","","","","","","","","","","","","","","3","","","","14990000","","1160000","351000","","","","","","","","42.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","198108","","","","","","","","","","","","","","","【レインズ】","","",""
"100123372741","01","03","02","（株）シンフォニー","090-1114-7760","","","","00","","","","","東京都","荒川区","荒川４丁目","","ヴイラロイヤル町屋","","","","千代田線","町屋","6","","","","","","","","","","","","","","","","","","4","","","","15000000","","1040000","315000","","","","","","","","47.68","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","197608","","","","","","","","","","","","","","","【レインズ】","","",""
"100123549949","01","03","02","（株）トップトラスト","03-5315-0370","","","","00","","","","","東京都","荒川区","西日暮里４丁目","","道灌山レジデンシア","","","","山手線","西日暮里","3","","","","","","","","","","","","","","","","","","3","","","","15000000","","1028000","311000","","","","","","","","48.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197007","","","","","","","","","","","","","","","【レインズ】","","",""
"100124441099","01","03","02","（株）心友商事","09096035749","","","","00","","","","","東京都","荒川区","西尾久４丁目","","パークステージ尾久","","","","高崎線","尾久","4","","","","","","","","","","","","","","","","","","5","","","","15800000","","1659000","502000","","","","","","","","31.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","13500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198903","","","","","","","","","","","","","","","【レインズ】","","",""
