"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124483907","01","03","02","（株）エフステージ","03-3868-2122","","","","00","","","","","東京都","豊島区","南長崎４丁目","","マイキャッスル東長崎","","","","西武池袋線","東長崎","3","","","","","","","","","","","","","","","","","","1","","","","51800000","","3112000","942000","","","","","","","","55.04","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199707","","","","","","","","","","","","","","","【レインズ】","","",""
"100124255432","01","03","02","明和地所（株）　明和地所の仲介　池袋店","03-6914-1281","","","","00","","","","","東京都","豊島区","南長崎４丁目","","マイキャッスル東長崎","","","","西武池袋線","東長崎","3","","","","","","","","","","","","","","","","","","4","","","","51800000","","3104000","939000","","","","","","","","55.18","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","11100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199707","","","","","","","","","","","","","","","【レインズ】","","",""
"100124011734","01","03","02","東急リバブル（株）　池袋センター","03-3988-7761","","","","00","","","","","東京都","豊島区","南大塚２丁目","","セザール大塚","","","","丸ノ内線","新大塚","1","","","","","","","","","","","","","","","","","","4","","","","51800000","","3616000","1094000","","","","","","","","47.36","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","14220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","199008","","","","","","","","","","","","","","","【レインズ】","","",""
"100124228777","01","03","02","住友不動産販売（株）　駒込営業センター","03-5907-5231","","","","00","","","","","東京都","豊島区","駒込４丁目","","カーサ駒込","","","","山手線","駒込","4","","","","","","","","","","","","","","","","","","4","","","","51800000","","2075000","628000","","","","","","","","82.53","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","19640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","198101","","","","","","","","","","","","","","","【レインズ】","","",""
"100124591548","01","03","02","（株）大京穴吹不動産　アセット事業部","050-3628-8514","","","","00","","","","","東京都","豊島区","池袋２丁目","","クレール池袋","","","","山手線","池袋","5","","","","","","","","","","","","","","","","","","1","","","","51980000","","3561000","1078000","","","","","","","","48.26","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","13600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198501","","","","","","","","","","","","","","","【レインズ】","","",""
"100124239084","01","03","02","（株）ＰＨＯＥＮＩＸ","08048889295","","","","00","","","","","東京都","豊島区","巣鴨４丁目","","セザール第二巣鴨","","","","山手線","巣鴨","9","","","","","","","","","","","","","","","","","","1","","","","52000000","","3083000","933000","","","","","","","","55.77","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","13950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","199906","","","","","","","","","","","","","","","【レインズ】","","",""
"100123857688","01","03","02","（株）ＩＣＳ","045-441-4344","","","","00","","","","","東京都","豊島区","池袋４丁目","","アクシア池袋","","","","山手線","池袋","12","","","","","","","","","","","","","","","","","","4","","","","52300000","","4063000","1229000","","","","","","","","42.56","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","8250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","200403","","","","","","","","","","","","","","","【レインズ】","","",""
"100124551487","01","03","02","オークラヤ住宅（株）　池袋営業所","03-3989-8933","","","","00","","","","","東京都","豊島区","巣鴨３丁目","","藤和シティホームズ巣鴨ステーションビュー","","","","都営三田線","巣鴨","1","","","","","","","","","","","","","","","","","","4","","","","52800000","","3439000","1041000","","","","","","","","50.76","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","8000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","200010","","","","","","","","","","","","","","","【レインズ】","","",""
"100123290678","01","03","02","（株）ＡＩホームズ","08035595188","","","","00","","","","","東京都","豊島区","巣鴨３丁目","","メゾンデラビル巣鴨","","","","都営三田線","巣鴨","3","","","","","","","","","","","","","","","","","","2","","","","52800000","","2876000","870000","","","","","","","","60.71","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","25200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","198305","","","","","","","","","","","","","","","【レインズ】","","",""
"100123565492","01","03","02","（株）ウィローズ","03-6426-2521","","","","00","","","","","東京都","豊島区","池袋４丁目","","アクシア池袋","","","","山手線","池袋","10","","","","","","","","","","","","","","","","","","4","","","","52800000","","3484000","1054000","","","","","","","","50.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200403","","","","","","","","","","","","","","","【レインズ】","","",""
