"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124580336","01","03","02","（株）西家","03-6450-2408","","","","00","","","","","東京都","豊島区","南大塚３丁目","","富士ビル","","","","山手線","大塚","4","","","","","","","","","","","","","","","","","","1","","","","11800000","","1108000","335000","","","","","","","","35.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196709","","","","","","","","","","","","","","","【レインズ】","","",""
"100123605191","01","03","02","（株）シャトー","03-6905-5822","","","","00","","","","","東京都","豊島区","上池袋３丁目","","大清コーポラス","","","","東武東上線","北池袋","4","","","","","","","","","","","","","","","","","","4","","","","12300000","","1356000","410000","","","","","","","","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","19750","","","","","","","","","","","","","","","【レインズ】","","",""
"100123605197","01","03","02","（株）シャトー","03-6905-5822","","","","00","","","","","東京都","豊島区","上池袋３丁目","","大清コーポラス","","","","埼京線","板橋","8","","","","","","","","","","","","","","","","","","4","","","","12300000","","1356000","410000","","","","","","","","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","19750","","","","","","","","","","","","","","","【レインズ】","","",""
"100123286109","01","03","02","麒麟㈱","090-1859-2674","","","","00","","","","","東京都","豊島区","南長崎２丁目","","椎名町マイコーポ","","","","西武池袋線","椎名町","6","","","","","","","","","","","","","","","","","","1","","","","12800000","","1383000","419000","","","","","","","","30.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","197906","","","","","","","","","","","","","","","【レインズ】","","",""
"100123781738","01","03","02","（株）タウンハウジング東京","03-3232-1201","","","","00","","","","","東京都","豊島区","北大塚３丁目","","大洋大塚マンション","","","","山手線","大塚","7","","","","","","","","","","","","","","","","","","5","","","","13000000","","1387000","420000","","","","","","","","31.00","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","6300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197507","","","","","","","","","","","","","","","【レインズ】","","",""
"100123781747","01","03","02","（株）タウンハウジング東京","30-3232-1201","","","","00","","","","","東京都","豊島区","北大塚３丁目","","大洋大塚マンション","","","","山手線","大塚","7","","","","","","","","","","","","","","","","","","5","","","","13000000","","1387000","420000","","","","","","","","31.00","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","6300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","197507","","","","","","","","","","","","","","","【レインズ】","","",""
"100123849437","01","03","02","合同会社明音","080-1122-2286","","","","00","","","","","東京都","豊島区","巣鴨５丁目","","三田巣鴨コーポ","","","","都電荒川線","新庚申塚","4","","","","","","","","","","","","","","","","","","4","","","","13900000","","1366000","413000","","","","","","","","33.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197012","","","","","","","","","","","","","","","【レインズ】","","",""
"100123457044","01","03","02","信友企業（株）","03-5961-6065","","","","00","","","","","東京都","豊島区","駒込４丁目","","駒込コーポラス","","","","山手線","巣鴨","7","","","","","","","","","","","","","","","","","","5","","","","14000000","","1390000","421000","","","","","","","","33.30","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","8400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","196709","","","","","","","","","","","","","","","【レインズ】","","",""
"100123913094","01","03","02","住友不動産販売（株）　目白営業センター","03-6872-2308","","","","00","","","","","東京都","豊島区","南長崎３丁目","","東洋長崎マンション","","","","西武池袋線","東長崎","8","","","","","","","","","","","","","","","","","","4","","","","14000000","","1021000","309000","","","","","","","","45.36","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","6800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","196807","","","","","","","","","","","","","","","【レインズ】","","",""
"100124562768","01","03","02","（株）カレンエステート","03-6659-5606","","","","00","","","","","東京都","豊島区","千早１丁目","","白樺マンション","","","","有楽町線","要町","4","","","","","","","","","","","","","","","","","","1","","","","14500000","","1243000","376000","","","","","","","","38.58","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","197004","","","","","","","","","","","","","","","【レインズ】","","",""
