"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","新築中古区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","引渡時期","引渡年月（西暦）","引渡旬","入居年月（西暦）","入居日","取引態様","報酬形態","手数料割合率","手数料","価格","価格消費税","坪単価","㎡単価","想定利回り（％）","面積計測方式","土地面積","土地共有持分面積","土地共有持分（分子）","土地共有持分（分母）","建物面積1","専有面積","私道負担有無","私道面積","バルコニー（テラス）面積","専用庭面積","セットバック区分","後退距離（m）","セットバック面積（㎡）","開発面積／総面積","販売総面積","販売区画数","工事完了年月（西暦）","建築面積","延べ面積","敷地延長の有無","敷地延長（30%以上表示）","借地料","借地期間","借地期限（西暦）","施設費用項目（1）","施設費用（1）","国土法届出","登記簿地目","現況地目","都市計画","用途地域（1）","用途地域（2）","最適用途","建ぺい率","容積率","地域地区","土地権利","付帯権利","造作譲渡金","定借権利金","定借保証金","定借敷金","地勢","建築条件","オーナーチェンジ","管理組合有無","管理形態","管理会社名","管理人状況","管理費","管理費消費税","修繕積立金","その他月額費名称1","その他月額費用金額1","施主","施工会社名","分譲会社名","一括下請負人","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","総戸数","棟総戸数","連棟戸数","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","自社管理欄","再建築不可フラグ"
"100124605509","01","03","02","㈱リップル","049-249-8200","","","","00","","","","","東京都","足立区","千住中居町","","グリーンパーク北千住","","","","千代田線","北千住","10","","","","","","","","","","","","","","","","","","1","","","","30800000","","2168000","656000","","","","","","","","46.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","199006","","","","","","","","","","","","","","","【レインズ】","","",""
"100123803506","01","03","02","三井不動産リアルティ（株）三井のリハウス綾瀬センター","03-5697-3131","","","","00","","","","","東京都","足立区","加平１丁目","","アモーレ北綾瀬","","","","千代田線","北綾瀬","9","","","","","","","","","","","","","","","","","","5","","","","30800000","","1538000","466000","","","","","","","","66.23","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","11700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","199603","","","","","","","","","","","","","","","【レインズ】","","",""
"100124393472","01","03","02","（株）タイセイ・ハウジーリバース","03-6893-6181","","","","00","","","","","東京都","足立区","中央本町４丁目","","エステート五反野住宅","","","","伊勢崎線","五反野","14","","","","","","","","","","","","","","","","","","1","","","","30800000","","1277000","387000","","","","","","","","79.79","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","198203","","","","","","","","","","","","","","","【レインズ】","","",""
"100123790412","01","03","02","野村不動産ソリューションズ（株）　北千住センター","03-5244-6820","","","","00","","","","","東京都","足立区","千住桜木２丁目","","コスモ町屋","","","","千代田線","町屋","19","","","","","","","","","","","","","","","","","","4","","","","30800000","","1645000","498000","","","","","","","","61.90","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","9600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","198512","","","","","","","","","","","","","","","【レインズ】","","",""
"100121760748","01","03","02","三井不動産リアルティ（株）三井のリハウス川口センター","048-225-3131","","","","00","","","","","東京都","足立区","宮城１丁目","","アクアプレミアムブライトテラス","","","","都電荒川線","小台","14","","","","","","","","","","","","","","","","","","4","","","","30800000","","1438000","435000","","","","","","","","70.82","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","9560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","201201","","","","","","","","","","","","","","","【レインズ】","","",""
"100123781708","01","03","02","（株）ホームプラザ　足立支店","03-5851-1555","","","","00","","","","","東京都","足立区","島根２丁目","","コスモ西新井クレステイジ","","","","伊勢崎線","梅島","15","","","","","","","","","","","","","","","","","","4","","","","30800000","","1045000","316000","","","","","","","","97.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","【レインズ】","","",""
"100124001204","01","03","02","（株）アサイホーム","03-6458-0914","","","","00","","","","","東京都","足立区","小台２丁目","","ダイアパレスラセーヌ小台公園","","","","都電荒川線","小台","14","","","","","","","","","","","","","","","","","","4","","","","30800000","","1572000","476000","","","","","","","","64.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","200002","","","","","","","","","","","","","","","【レインズ】","","",""
"100124492479","01","03","02","（株）レジデンシャル不動産","03-6812-0600","","","","00","","","","","東京都","足立区","青井５丁目","","綾瀬グランドハイツ","","","","つくばＥＸ","青井","7","","","","","","","","","","","","","","","","","","1","","","","30900000","","1587000","480000","","","","","","","","64.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8685","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","198102","","","","","","","","","","","","","","","【レインズ】","","",""
"100122525893","01","03","02","（株）大京穴吹不動産　北千住店","03-5244-6870","","","","00","","","","","東京都","足立区","伊興４丁目","","モア・ステージ竹ノ塚","","","","伊勢崎線","竹ノ塚","12","","","","","","","","","","","","","","","","","","1","","","","30980000","","1579000","478000","","","","","","","","64.90","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","15500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","199402","","","","","","","","","","","","","","","【レインズ】","","",""
"100124054240","01","03","02","（株）未来都市開発","080-1266-9355","","","","00","","","","","東京都","足立区","青井３丁目","","ライオンズマンション五反野第５","","","","つくばＥＸ","青井","7","","","","","","","","","","","","","","","","","","1","","","","30990000","","1890000","572000","","","","","","","","54.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","198703","","","","","","","","","","","","","","","【レインズ】","","",""
